| Compressor name          | Compression | Decompress. | Ratio | Filename    |
| ------------------------ | ----------- | ----------- | ----- | ----------- |
| lz4 1.10.0               |    881 MB/s |   5173 MB/s | 47.59 | silesia.tar |
| misa77 0.1.0             |   94.3 MB/s |  10007 MB/s | 39.62 | silesia.tar |
| misa77 0.1.0 yolo        |   17.1 MB/s |  13088 MB/s | 42.75 | silesia.tar |
| lz4hc 1.10.0 -12         |   17.0 MB/s |   4874 MB/s | 36.45 | silesia.tar |
| snappy 1.2.2             |    966 MB/s |   3438 MB/s | 47.91 | silesia.tar |
| zxc 0.12.0 -3            |    276 MB/s |   8010 MB/s | 45.77 | silesia.tar |
| zxc 0.12.0 -4            |    192 MB/s |   7628 MB/s | 43.20 | silesia.tar |
| zxc 0.12.0 -5            |    114 MB/s |   7126 MB/s | 40.30 | silesia.tar |
| zstd 1.5.7 -1            |    714 MB/s |   1614 MB/s | 34.54 | silesia.tar |
| zstd 1.5.7 -2            |    534 MB/s |   1463 MB/s | 32.71 | silesia.tar |
| zstd 1.5.7 -3            |    421 MB/s |   1419 MB/s | 31.20 | silesia.tar |
| lizard 2.1 -10           |    830 MB/s |   6530 MB/s | 48.78 | silesia.tar |
