| Compressor name          | Compression | Decompress. |  Ratio | Filename            |
| ------------------------ | ----------- | ----------- | ------ | ------------------- |
| lz4 1.10.0               |    242 MB/s |   2382 MB/s |  63.07 | silesia/dickens     |
| misa77 0.1.0             |   34.6 MB/s |   4275 MB/s |  45.93 | silesia/dickens     |
| misa77 0.1.0 adaptive -0 |   3.93 MB/s |   5907 MB/s |  52.37 | silesia/dickens     |
| misa77 0.1.0 adaptive -1 |   4.09 MB/s |   5332 MB/s |  47.94 | silesia/dickens     |
| misa77 0.1.0 yolo        |   7.74 MB/s |   5904 MB/s |  52.37 | silesia/dickens     |
| lz4hc 1.10.0 -12         |   7.41 MB/s |   2142 MB/s |  42.93 | silesia/dickens     |
| lzsse2 2019-04-18 -17    |   4.69 MB/s |   3264 MB/s |  37.99 | silesia/dickens     |
| lzsse4fast 2019-04-18    |    130 MB/s |   2570 MB/s |  50.64 | silesia/dickens     |
| lzsse8fast 2019-04-18    |    129 MB/s |   2522 MB/s |  50.77 | silesia/dickens     |
| snappy 1.2.2             |    218 MB/s |    523 MB/s |  61.31 | silesia/dickens     |
| zxc 0.12.0 -3            |   70.8 MB/s |   3047 MB/s |  57.03 | silesia/dickens     |
| zxc 0.12.0 -4            |   49.0 MB/s |   2835 MB/s |  51.23 | silesia/dickens     |
| zxc 0.12.0 -5            |   31.7 MB/s |   2884 MB/s |  48.63 | silesia/dickens     |
| zstd 1.5.7 -1            |    201 MB/s |    883 MB/s |  41.81 | silesia/dickens     |
| zstd 1.5.7 -3            |    123 MB/s |    799 MB/s |  35.94 | silesia/dickens     |
| lizard 2.1 -10           |    217 MB/s |   2762 MB/s |  63.10 | silesia/dickens     |
| lz4 1.10.0               |    396 MB/s |   2274 MB/s |  51.61 | silesia/mozilla     |
| misa77 0.1.0             |   39.9 MB/s |   4037 MB/s |  45.66 | silesia/mozilla     |
| misa77 0.1.0 adaptive -0 |   7.41 MB/s |   5022 MB/s |  47.65 | silesia/mozilla     |
| misa77 0.1.0 adaptive -1 |   7.41 MB/s |   5020 MB/s |  47.65 | silesia/mozilla     |
| misa77 0.1.0 yolo        |   8.76 MB/s |   5011 MB/s |  47.65 | silesia/mozilla     |
| lz4hc 1.10.0 -12         |   4.37 MB/s |   2626 MB/s |  42.98 | silesia/mozilla     |
| lzsse2 2019-04-18 -17    |   1.29 MB/s |   2350 MB/s |  43.85 | silesia/mozilla     |
| lzsse4fast 2019-04-18    |    175 MB/s |   1831 MB/s |  53.51 | silesia/mozilla     |
| lzsse8fast 2019-04-18    |    173 MB/s |   1932 MB/s |  52.70 | silesia/mozilla     |
| snappy 1.2.2             |    382 MB/s |    798 MB/s |  51.87 | silesia/mozilla     |
| zxc 0.12.0 -3            |    110 MB/s |   2306 MB/s |  52.33 | silesia/mozilla     |
| zxc 0.12.0 -4            |   81.6 MB/s |   2236 MB/s |  48.81 | silesia/mozilla     |
| zxc 0.12.0 -5            |   49.8 MB/s |   2232 MB/s |  46.33 | silesia/mozilla     |
| zstd 1.5.7 -1            |    301 MB/s |    742 MB/s |  38.99 | silesia/mozilla     |
| zstd 1.5.7 -3            |    193 MB/s |    722 MB/s |  35.59 | silesia/mozilla     |
| lizard 2.1 -10           |    336 MB/s |   2314 MB/s |  52.74 | silesia/mozilla     |
| lz4 1.10.0               |    383 MB/s |   2663 MB/s |  54.57 | silesia/mr          |
| misa77 0.1.0             |   38.4 MB/s |   3240 MB/s |  47.21 | silesia/mr          |
| misa77 0.1.0 adaptive -0 |   4.53 MB/s |   4667 MB/s |  53.00 | silesia/mr          |
| misa77 0.1.0 adaptive -1 |   4.66 MB/s |   4095 MB/s |  49.47 | silesia/mr          |
| misa77 0.1.0 yolo        |   9.10 MB/s |   4668 MB/s |  53.00 | silesia/mr          |
