| Compressor name          | Compression | Decompress. | Compr. size |  Ratio | Filename             |
| ------------------------ | ----------- | ----------- | ----------- | ------ | -------------------- |
| misa77 0.2.0 -0          |   38.3 MB/s |   5239 MB/s |     5207945 |  51.10 | silesia/dickens      |
| misa77 0.2.0 -1          |   39.0 MB/s |   4244 MB/s |     4680658 |  45.92 | silesia/dickens      |
| misa77 0.2.0 adaptive -0 |   3.90 MB/s |   5909 MB/s |     5337859 |  52.37 | silesia/dickens      |
| misa77 0.2.0 adaptive -1 |   4.07 MB/s |   5332 MB/s |     4886277 |  47.94 | silesia/dickens      |
| lz4 1.10.0               |    243 MB/s |   2378 MB/s |     6428742 |  63.07 | silesia/dickens      |
| lz4hc 1.10.0 -12         |   7.65 MB/s |   2135 MB/s |     4376097 |  42.93 | silesia/dickens      |
| lzsse4fast 2019-04-18    |    130 MB/s |   2554 MB/s |     5161515 |  50.64 | silesia/dickens      |
| lzsse8fast 2019-04-18    |    129 MB/s |   2514 MB/s |     5174322 |  50.77 | silesia/dickens      |
| snappy 1.2.2             |    218 MB/s |    522 MB/s |     6249045 |  61.31 | silesia/dickens      |
| zxc 0.12.0 -3            |   70.4 MB/s |   3050 MB/s |     5813174 |  57.03 | silesia/dickens      |
| zxc 0.12.0 -4            |   48.7 MB/s |   2840 MB/s |     5221630 |  51.23 | silesia/dickens      |
| zxc 0.12.0 -5            |   31.6 MB/s |   2889 MB/s |     4956392 |  48.63 | silesia/dickens      |
| zstd 1.5.7 -1            |    201 MB/s |    881 MB/s |     4261734 |  41.81 | silesia/dickens      |
| zstd 1.5.7 -3            |    122 MB/s |    801 MB/s |     3663504 |  35.94 | silesia/dickens      |
| lizard 2.1 -10           |    216 MB/s |   2763 MB/s |     6431869 |  63.10 | silesia/dickens      |
| misa77 0.2.0 -0          |   48.2 MB/s |   4482 MB/s |    24703870 |  48.23 | silesia/mozilla      |
| misa77 0.2.0 -1          |   48.2 MB/s |   4034 MB/s |    23410515 |  45.71 | silesia/mozilla      |
| misa77 0.2.0 adaptive -0 |   7.45 MB/s |   5023 MB/s |    24409000 |  47.65 | silesia/mozilla      |
| misa77 0.2.0 adaptive -1 |   7.44 MB/s |   5024 MB/s |    24409000 |  47.65 | silesia/mozilla      |
| lz4 1.10.0               |    396 MB/s |   2272 MB/s |    26435667 |  51.61 | silesia/mozilla      |
| lz4hc 1.10.0 -12         |   4.37 MB/s |   2618 MB/s |    22014250 |  42.98 | silesia/mozilla      |
| lzsse4fast 2019-04-18    |    175 MB/s |   1823 MB/s |    27406939 |  53.51 | silesia/mozilla      |
| lzsse8fast 2019-04-18    |    173 MB/s |   1925 MB/s |    26993974 |  52.70 | silesia/mozilla      |
| snappy 1.2.2             |    383 MB/s |    797 MB/s |    26568762 |  51.87 | silesia/mozilla      |
| zxc 0.12.0 -3            |    110 MB/s |   2304 MB/s |    26803592 |  52.33 | silesia/mozilla      |
| zxc 0.12.0 -4            |   81.7 MB/s |   2230 MB/s |    25000669 |  48.81 | silesia/mozilla      |
| zxc 0.12.0 -5            |   49.6 MB/s |   2230 MB/s |    23728772 |  46.33 | silesia/mozilla      |
| zstd 1.5.7 -1            |    301 MB/s |    743 MB/s |    19968503 |  38.99 | silesia/mozilla      |
