| Compressor name       | Compression | Decompress. | Compr. size |  Ratio | Filename            |
| --------------------- | ----------- | ----------- | ----------- | ------ | ------------------- |
| lz4 1.10.0            |    242 MB/s |   2386 MB/s |     6428742 |  63.07 | silesia/dickens     |
| misa77 0.3.0 -0       |   38.3 MB/s |   5494 MB/s |     5207945 |  51.10 | silesia/dickens     |
| misa77 0.3.0 -1       |   39.3 MB/s |   4500 MB/s |     4680658 |  45.92 | silesia/dickens     |
| misa77 0.3.0 safe -0  |   38.2 MB/s |   5329 MB/s |     5207945 |  51.10 | silesia/dickens     |
| misa77 0.3.0 safe -1  |   39.3 MB/s |   4344 MB/s |     4680658 |  45.92 | silesia/dickens     |
| lz4hc 1.10.0 -12      |   7.65 MB/s |   2139 MB/s |     4376097 |  42.93 | silesia/dickens     |
| lzsse4fast 2019-04-18 |    130 MB/s |   2568 MB/s |     5161515 |  50.64 | silesia/dickens     |
| lzsse8fast 2019-04-18 |    129 MB/s |   2522 MB/s |     5174322 |  50.77 | silesia/dickens     |
| snappy 1.2.2          |    218 MB/s |    522 MB/s |     6249045 |  61.31 | silesia/dickens     |
| zxc 0.13.1 -3         |   70.3 MB/s |   3045 MB/s |     5813174 |  57.03 | silesia/dickens     |
| zxc 0.13.1 -4         |   48.2 MB/s |   2835 MB/s |     5221630 |  51.23 | silesia/dickens     |
| zxc 0.13.1 -5         |   31.2 MB/s |   2885 MB/s |     4956392 |  48.63 | silesia/dickens     |
| zstd 1.5.7 -1         |    201 MB/s |    882 MB/s |     4261734 |  41.81 | silesia/dickens     |
| lzav 5.11 -1          |    167 MB/s |   1175 MB/s |     4628824 |  45.41 | silesia/dickens     |
| lz4 1.10.0            |    396 MB/s |   2276 MB/s |    26435667 |  51.61 | silesia/mozilla     |
| misa77 0.3.0 -0       |   48.2 MB/s |   4582 MB/s |    24703870 |  48.23 | silesia/mozilla     |
| misa77 0.3.0 -1       |   48.6 MB/s |   4109 MB/s |    23410515 |  45.71 | silesia/mozilla     |
| misa77 0.3.0 safe -0  |   48.2 MB/s |   4460 MB/s |    24703870 |  48.23 | silesia/mozilla     |
| misa77 0.3.0 safe -1  |   48.5 MB/s |   3983 MB/s |    23410515 |  45.71 | silesia/mozilla     |
| lz4hc 1.10.0 -12      |   4.36 MB/s |   2624 MB/s |    22014250 |  42.98 | silesia/mozilla     |
| lzsse4fast 2019-04-18 |    176 MB/s |   1830 MB/s |    27406939 |  53.51 | silesia/mozilla     |
| lzsse8fast 2019-04-18 |    172 MB/s |   1931 MB/s |    26993974 |  52.70 | silesia/mozilla     |
| snappy 1.2.2          |    383 MB/s |    797 MB/s |    26568762 |  51.87 | silesia/mozilla     |
| zxc 0.13.1 -3         |    110 MB/s |   2303 MB/s |    26803592 |  52.33 | silesia/mozilla     |
| zxc 0.13.1 -4         |   82.4 MB/s |   2232 MB/s |    25000669 |  48.81 | silesia/mozilla     |
| zxc 0.13.1 -5         |   49.6 MB/s |   2229 MB/s |    23728772 |  46.33 | silesia/mozilla     |
| zstd 1.5.7 -1         |    300 MB/s |    744 MB/s |    19968503 |  38.99 | silesia/mozilla     |
| lzav 5.11 -1          |    311 MB/s |   1533 MB/s |    23715733 |  46.30 | silesia/mozilla     |
| lz4 1.10.0            |    384 MB/s |   2660 MB/s |     5440937 |  54.57 | silesia/mr          |
| misa77 0.3.0 -0       |   44.3 MB/s |   5115 MB/s |     5301136 |  53.17 | silesia/mr          |
| misa77 0.3.0 -1       |   40.1 MB/s |   3373 MB/s |     4707646 |  47.22 | silesia/mr          |
| misa77 0.3.0 safe -0  |   44.2 MB/s |   4902 MB/s |     5301136 |  53.17 | silesia/mr          |
| misa77 0.3.0 safe -1  |   40.1 MB/s |   3245 MB/s |     4707646 |  47.22 | silesia/mr          |
| lz4hc 1.10.0 -12      |   5.41 MB/s |   2544 MB/s |     4189363 |  42.02 | silesia/mr          |
| lzsse4fast 2019-04-18 |    154 MB/s |   2034 MB/s |     7034206 |  70.55 | silesia/mr          |
| lzsse8fast 2019-04-18 |    165 MB/s |   2424 MB/s |     6856430 |  68.77 | silesia/mr          |
| snappy 1.2.2          |    364 MB/s |    739 MB/s |     5399507 |  54.15 | silesia/mr          |
| zxc 0.13.1 -3         |   94.9 MB/s |   3078 MB/s |     4908330 |  49.23 | silesia/mr          |
| zxc 0.13.1 -4         |   66.0 MB/s |   3010 MB/s |     4786383 |  48.01 | silesia/mr          |
| zxc 0.13.1 -5         |   44.8 MB/s |   2937 MB/s |     4577653 |  45.91 | silesia/mr          |
| zstd 1.5.7 -1         |    269 MB/s |    910 MB/s |     3813409 |  38.25 | silesia/mr          |
| lzav 5.11 -1          |    265 MB/s |   1674 MB/s |     4651753 |  46.65 | silesia/mr          |
| lz4 1.10.0            |    624 MB/s |   3357 MB/s |     5533040 |  16.49 | silesia/nci         |
| misa77 0.3.0 -0       |    152 MB/s |   6818 MB/s |     5591111 |  16.66 | silesia/nci         |
| misa77 0.3.0 -1       |    144 MB/s |   6795 MB/s |     5452955 |  16.25 | silesia/nci         |
| misa77 0.3.0 safe -0  |    152 MB/s |   6806 MB/s |     5591111 |  16.66 | silesia/nci         |
| misa77 0.3.0 safe -1  |    144 MB/s |   6721 MB/s |     5452955 |  16.25 | silesia/nci         |
| lz4hc 1.10.0 -12      |   11.1 MB/s |   3794 MB/s |     3617512 |  10.78 | silesia/nci         |
| lzsse4fast 2019-04-18 |    356 MB/s |   4618 MB/s |     5711408 |  17.02 | silesia/nci         |
| lzsse8fast 2019-04-18 |    352 MB/s |   4438 MB/s |     5796797 |  17.28 | silesia/nci         |
| snappy 1.2.2          |    723 MB/s |   1507 MB/s |     6121795 |  18.24 | silesia/nci         |
| zxc 0.13.1 -3         |    242 MB/s |   4053 MB/s |     4837924 |  14.42 | silesia/nci         |
| zxc 0.13.1 -4         |    173 MB/s |   4182 MB/s |     4762858 |  14.19 | silesia/nci         |
| zxc 0.13.1 -5         |    108 MB/s |   4256 MB/s |     4378198 |  13.05 | silesia/nci         |
| zstd 1.5.7 -1         |    560 MB/s |   1482 MB/s |     2848578 |   8.49 | silesia/nci         |
| lzav 5.11 -1          |    597 MB/s |   3093 MB/s |     4266147 |  12.71 | silesia/nci         |
| lz4 1.10.0            |    342 MB/s |   2142 MB/s |     4338918 |  70.53 | silesia/ooffice     |
| misa77 0.3.0 -0       |   28.6 MB/s |   3837 MB/s |     4057627 |  65.95 | silesia/ooffice     |
| misa77 0.3.0 -1       |   30.7 MB/s |   3046 MB/s |     3704055 |  60.21 | silesia/ooffice     |
