| Compressor name      | Compression | Decompress. | Compr. size |  Ratio | Filename        |
| -------------------- | ----------- | ----------- | ----------- | ------ | --------------- |
| lz4 1.10.0           |    882 MB/s |   5166 MB/s |   100885831 |  47.59 | silesia.tar     |
| misa77 0.5.0 -0      |    134 MB/s |  12660 MB/s |    90391766 |  42.64 | silesia.tar     |
| misa77 0.5.0 -1      |    127 MB/s |  10270 MB/s |    84046597 |  39.65 | silesia.tar     |
| misa77 0.5.0 -2      |   13.6 MB/s |   9935 MB/s |    75264015 |  35.51 | silesia.tar     |
| misa77 0.5.0 safe -0 |    134 MB/s |  12484 MB/s |    90391766 |  42.64 | silesia.tar     |
| misa77 0.5.0 safe -1 |    127 MB/s |  10100 MB/s |    84046597 |  39.65 | silesia.tar     |
| lz4hc 1.10.0 -9      |   53.2 MB/s |   4885 MB/s |    77888133 |  36.74 | silesia.tar     |
| lz4hc 1.10.0 -12     |   17.0 MB/s |   4883 MB/s |    77266282 |  36.45 | silesia.tar     |
| snappy 1.2.2         |    967 MB/s |   3438 MB/s |   101554605 |  47.91 | silesia.tar     |
| zxc 0.13.1 -3        |    279 MB/s |   8030 MB/s |    97023091 |  45.77 | silesia.tar     |
| zxc 0.13.1 -4        |    193 MB/s |   7663 MB/s |    91571971 |  43.20 | silesia.tar     |
| zxc 0.13.1 -5        |    115 MB/s |   7166 MB/s |    85426573 |  40.30 | silesia.tar     |
| zxc 0.13.1 -7        |   9.78 MB/s |   4310 MB/s |    69976144 |  33.01 | silesia.tar     |
| zstd 1.5.7 -1        |    722 MB/s |   1615 MB/s |    73220826 |  34.54 | silesia.tar     |
| lzav 5.11 -1         |    751 MB/s |   4359 MB/s |    84642862 |  39.93 | silesia.tar     |
| lzav 5.11 -2         |    175 MB/s |   4261 MB/s |    74136474 |  34.97 | silesia.tar     |
| lz4 1.10.0           |    641 MB/s |   4318 MB/s |    20139988 |  48.58 | silesia/webster |
| misa77 0.5.0 -0      |    125 MB/s |  13150 MB/s |    16130530 |  38.91 | silesia/webster |
| misa77 0.5.0 -1      |    131 MB/s |  11432 MB/s |    14653209 |  35.34 | silesia/webster |
| misa77 0.5.0 -2      |   16.5 MB/s |   9235 MB/s |    12898901 |  31.11 | silesia/webster |
| misa77 0.5.0 safe -0 |    125 MB/s |  13012 MB/s |    16130530 |  38.91 | silesia/webster |
| misa77 0.5.0 safe -1 |    131 MB/s |  11279 MB/s |    14653209 |  35.34 | silesia/webster |
| lz4hc 1.10.0 -9      |   47.2 MB/s |   3957 MB/s |    14001448 |  33.77 | silesia/webster |
| lz4hc 1.10.0 -12     |   22.3 MB/s |   3956 MB/s |    13823143 |  33.34 | silesia/webster |
| snappy 1.2.2         |    691 MB/s |   2775 MB/s |    19984210 |  48.20 | silesia/webster |
| zxc 0.13.1 -3        |    184 MB/s |   6608 MB/s |    17050225 |  41.13 | silesia/webster |
| zxc 0.13.1 -4        |    137 MB/s |   6564 MB/s |    16781584 |  40.48 | silesia/webster |
| zxc 0.13.1 -5        |   91.9 MB/s |   6397 MB/s |    15942227 |  38.45 | silesia/webster |
| zxc 0.13.1 -7        |   8.94 MB/s |   4506 MB/s |    11886025 |  28.67 | silesia/webster |
| zstd 1.5.7 -1        |    567 MB/s |   1543 MB/s |    13661986 |  32.95 | silesia/webster |
| lzav 5.11 -1         |    504 MB/s |   3529 MB/s |    15120347 |  36.47 | silesia/webster |
| lzav 5.11 -2         |    130 MB/s |   3654 MB/s |    12544041 |  30.26 | silesia/webster |
| lz4 1.10.0           |    945 MB/s |   5135 MB/s |    26435667 |  51.61 | silesia/mozilla |
| misa77 0.5.0 -0      |    120 MB/s |  11234 MB/s |    24703870 |  48.23 | silesia/mozilla |
| misa77 0.5.0 -1      |    120 MB/s |  10386 MB/s |    23410515 |  45.71 | silesia/mozilla |
| misa77 0.5.0 -2      |   17.3 MB/s |  10556 MB/s |    22645756 |  44.21 | silesia/mozilla |
| misa77 0.5.0 safe -0 |    120 MB/s |  11133 MB/s |    24703870 |  48.23 | silesia/mozilla |
| misa77 0.5.0 safe -1 |    120 MB/s |  10317 MB/s |    23410515 |  45.71 | silesia/mozilla |
| lz4hc 1.10.0 -9      |   60.5 MB/s |   5190 MB/s |    22078791 |  43.11 | silesia/mozilla |
| lz4hc 1.10.0 -12     |   9.98 MB/s |   5216 MB/s |    22014250 |  42.98 | silesia/mozilla |
| snappy 1.2.2         |    955 MB/s |   3116 MB/s |    26568762 |  51.87 | silesia/mozilla |
| zxc 0.13.1 -3        |    255 MB/s |   6853 MB/s |    26803592 |  52.33 | silesia/mozilla |
| zxc 0.13.1 -4        |    189 MB/s |   6630 MB/s |    25000669 |  48.81 | silesia/mozilla |
| zxc 0.13.1 -5        |    114 MB/s |   6466 MB/s |    23728772 |  46.33 | silesia/mozilla |
| zxc 0.13.1 -7        |   12.2 MB/s |   3909 MB/s |    21040060 |  41.08 | silesia/mozilla |
| zstd 1.5.7 -1        |    720 MB/s |   1436 MB/s |    19968503 |  38.99 | silesia/mozilla |
| lzav 5.11 -1         |    753 MB/s |   3753 MB/s |    23715733 |  46.30 | silesia/mozilla |
| lzav 5.11 -2         |    180 MB/s |   3800 MB/s |    21329096 |  41.64 | silesia/mozilla |
| lz4 1.10.0           |    932 MB/s |   5192 MB/s |     5440937 |  54.57 | silesia/mr      |
| misa77 0.5.0 -0      |    113 MB/s |  13684 MB/s |     5301136 |  53.17 | silesia/mr      |
| misa77 0.5.0 -1      |    105 MB/s |   8736 MB/s |     4707646 |  47.22 | silesia/mr      |
| misa77 0.5.0 -2      |   12.9 MB/s |   9062 MB/s |     4204420 |  42.17 | silesia/mr      |
| misa77 0.5.0 safe -0 |    113 MB/s |  13657 MB/s |     5301136 |  53.17 | silesia/mr      |
| misa77 0.5.0 safe -1 |    105 MB/s |   9047 MB/s |     4707646 |  47.22 | silesia/mr      |
| lz4hc 1.10.0 -9      |   30.9 MB/s |   4603 MB/s |     4245211 |  42.58 | silesia/mr      |
| lz4hc 1.10.0 -12     |   12.8 MB/s |   4593 MB/s |     4189363 |  42.02 | silesia/mr      |
| snappy 1.2.2         |    943 MB/s |   2545 MB/s |     5399507 |  54.15 | silesia/mr      |
| zxc 0.13.1 -3        |    222 MB/s |   9652 MB/s |     4908330 |  49.23 | silesia/mr      |
| zxc 0.13.1 -4        |    153 MB/s |   9466 MB/s |     4786383 |  48.01 | silesia/mr      |
| zxc 0.13.1 -5        |    105 MB/s |   9196 MB/s |     4577653 |  45.91 | silesia/mr      |
| zxc 0.13.1 -7        |   17.2 MB/s |   5062 MB/s |     3512373 |  35.23 | silesia/mr      |
| zstd 1.5.7 -1        |    664 MB/s |   1574 MB/s |     3813409 |  38.25 | silesia/mr      |
| lzav 5.11 -1         |    678 MB/s |   4360 MB/s |     4651753 |  46.65 | silesia/mr      |
| lzav 5.11 -2         |    145 MB/s |   3751 MB/s |     4201266 |  42.14 | silesia/mr      |
| lz4 1.10.0           |    580 MB/s |   4112 MB/s |     6428742 |  63.07 | silesia/dickens |
| misa77 0.5.0 -0      |    104 MB/s |  11958 MB/s |     5207945 |  51.10 | silesia/dickens |
| misa77 0.5.0 -1      |    106 MB/s |   9654 MB/s |     4680658 |  45.92 | silesia/dickens |
| misa77 0.5.0 -2      |   14.7 MB/s |   8638 MB/s |     4138278 |  40.60 | silesia/dickens |
| misa77 0.5.0 safe -0 |    104 MB/s |  11803 MB/s |     5207945 |  51.10 | silesia/dickens |
| misa77 0.5.0 safe -1 |    106 MB/s |   9523 MB/s |     4680658 |  45.92 | silesia/dickens |
| lz4hc 1.10.0 -9      |   33.0 MB/s |   3709 MB/s |     4432823 |  43.49 | silesia/dickens |
| lz4hc 1.10.0 -12     |   18.6 MB/s |   3609 MB/s |     4376097 |  42.93 | silesia/dickens |
| snappy 1.2.2         |    590 MB/s |   2083 MB/s |     6249045 |  61.31 | silesia/dickens |
| zxc 0.13.1 -3        |    164 MB/s |   8647 MB/s |     5813174 |  57.03 | silesia/dickens |
| zxc 0.13.1 -4        |    111 MB/s |   7967 MB/s |     5221630 |  51.23 | silesia/dickens |
| zxc 0.13.1 -5        |   70.5 MB/s |   8108 MB/s |     4956392 |  48.63 | silesia/dickens |
| zxc 0.13.1 -7        |   14.1 MB/s |   5424 MB/s |     3739859 |  36.69 | silesia/dickens |
| zstd 1.5.7 -1        |    526 MB/s |   1359 MB/s |     4261734 |  41.81 | silesia/dickens |
| lzav 5.11 -1         |    408 MB/s |   3094 MB/s |     4628824 |  45.41 | silesia/dickens |
| lzav 5.11 -2         |    140 MB/s |   3907 MB/s |     3941917 |  38.67 | silesia/dickens |
| lz4 1.10.0           |   3045 MB/s |  22229 MB/s |     8390195 |  99.01 | silesia/x-ray   |
| misa77 0.5.0 -0      |    206 MB/s |  38732 MB/s |     8376906 |  98.85 | silesia/x-ray   |
| misa77 0.5.0 -1      |   57.5 MB/s |   4199 MB/s |     7268810 |  85.78 | silesia/x-ray   |
| misa77 0.5.0 -2      |   15.4 MB/s |   5378 MB/s |     6922700 |  81.69 | silesia/x-ray   |
| misa77 0.5.0 safe -0 |    206 MB/s |  38352 MB/s |     8376906 |  98.85 | silesia/x-ray   |
| misa77 0.5.0 safe -1 |   57.4 MB/s |   4254 MB/s |     7268810 |  85.78 | silesia/x-ray   |
| lz4hc 1.10.0 -9      |   66.2 MB/s |   3835 MB/s |     7175001 |  84.67 | silesia/x-ray   |
| lz4hc 1.10.0 -12     |   44.4 MB/s |   3777 MB/s |     7172970 |  84.64 | silesia/x-ray   |
| snappy 1.2.2         |  19163 MB/s |  51242 MB/s |     8457853 |  99.81 | silesia/x-ray   |
| zxc 0.13.1 -3        |  12063 MB/s |  83938 MB/s |     8474348 | 100.00 | silesia/x-ray   |
| zxc 0.13.1 -4        |  12744 MB/s |  81223 MB/s |     8474338 | 100.00 | silesia/x-ray   |
| zxc 0.13.1 -5        |   76.9 MB/s |   8326 MB/s |     7616482 |  89.88 | silesia/x-ray   |
| zxc 0.13.1 -7        |   33.9 MB/s |   2297 MB/s |     6098748 |  71.97 | silesia/x-ray   |
| zstd 1.5.7 -1        |    895 MB/s |   1343 MB/s |     6772118 |  79.91 | silesia/x-ray   |
| lzav 5.11 -1         |  25712 MB/s |  49126 MB/s |     8474015 | 100.00 | silesia/x-ray   |
| lzav 5.11 -2         |   93.5 MB/s |   2659 MB/s |     7152549 |  84.40 | silesia/x-ray   |
| lz4 1.10.0           |    897 MB/s |   4932 MB/s |     4338918 |  70.53 | silesia/ooffice |
| misa77 0.5.0 -0      |   73.3 MB/s |   9313 MB/s |     4057627 |  65.95 | silesia/ooffice |
| misa77 0.5.0 -1      |   78.2 MB/s |   7992 MB/s |     3704055 |  60.21 | silesia/ooffice |
| misa77 0.5.0 -2      |   16.4 MB/s |   8925 MB/s |     3646223 |  59.27 | silesia/ooffice |
| misa77 0.5.0 safe -0 |   73.3 MB/s |   9914 MB/s |     4057627 |  65.95 | silesia/ooffice |
