| Compressor name       | Compression | Decompress. | Compr. size |  Ratio | Filename        |
| --------------------- | ----------- | ----------- | ----------- | ------ | --------------- |
| lz4 1.10.0            |    882 MB/s |   5195 MB/s |   100885763 |  47.59 | silesia.tar     |
| misa77 0.6.0 --1      |    541 MB/s |   9739 MB/s |    99081047 |  46.74 | silesia.tar     |
| misa77 0.6.0 -0       |    385 MB/s |  11777 MB/s |    94533882 |  44.60 | silesia.tar     |
| misa77 0.6.0 -1       |    135 MB/s |  12638 MB/s |    90391854 |  42.64 | silesia.tar     |
| misa77 0.6.0 -2       |    103 MB/s |  10868 MB/s |    85482759 |  40.33 | silesia.tar     |
| misa77 0.6.0 -3       |   19.5 MB/s |  10280 MB/s |    80033817 |  37.76 | silesia.tar     |
| misa77 0.6.0 -4       |   13.5 MB/s |   9925 MB/s |    75264012 |  35.51 | silesia.tar     |
| misa77 0.6.0 safe --1 |    540 MB/s |   9513 MB/s |    99081047 |  46.74 | silesia.tar     |
| misa77 0.6.0 safe -0  |    385 MB/s |  11592 MB/s |    94533882 |  44.60 | silesia.tar     |
| misa77 0.6.0 safe -1  |    135 MB/s |  12490 MB/s |    90391854 |  42.64 | silesia.tar     |
| misa77 0.6.0 safe -2  |    103 MB/s |  10711 MB/s |    85482759 |  40.33 | silesia.tar     |
| misa77 0.6.0 safe -3  |   19.6 MB/s |  10132 MB/s |    80033817 |  37.76 | silesia.tar     |
| lz4hc 1.10.0 -9       |   53.0 MB/s |   4899 MB/s |    77888133 |  36.74 | silesia.tar     |
| lz4hc 1.10.0 -12      |   17.0 MB/s |   4887 MB/s |    77266281 |  36.45 | silesia.tar     |
| snappy 1.2.2          |    967 MB/s |   3439 MB/s |   101554602 |  47.91 | silesia.tar     |
| zxc 0.13.1 -3         |    278 MB/s |   8022 MB/s |    97023091 |  45.77 | silesia.tar     |
| zxc 0.13.1 -4         |    193 MB/s |   7642 MB/s |    91571976 |  43.20 | silesia.tar     |
| zxc 0.13.1 -5         |    114 MB/s |   7162 MB/s |    85426576 |  40.30 | silesia.tar     |
| zstd 1.5.7 -1         |    722 MB/s |   1615 MB/s |    73220865 |  34.54 | silesia.tar     |
| lzav 5.16 -1          |    770 MB/s |   4348 MB/s |    84579682 |  39.90 | silesia.tar     |
| lzav 5.16 -2          |    185 MB/s |   4243 MB/s |    73874760 |  34.85 | silesia.tar     |
| lz4 1.10.0            |    642 MB/s |   4337 MB/s |    20139988 |  48.58 | silesia/webster |
| misa77 0.6.0 --1      |    403 MB/s |   9424 MB/s |    18359653 |  44.28 | silesia/webster |
| misa77 0.6.0 -0       |    280 MB/s |  12307 MB/s |    16675110 |  40.22 | silesia/webster |
| misa77 0.6.0 -1       |    125 MB/s |  13129 MB/s |    16130530 |  38.91 | silesia/webster |
| misa77 0.6.0 -2       |    101 MB/s |  12671 MB/s |    15269606 |  36.83 | silesia/webster |
| misa77 0.6.0 -3       |   20.1 MB/s |  11237 MB/s |    13765027 |  33.20 | silesia/webster |
| misa77 0.6.0 -4       |   14.6 MB/s |   9265 MB/s |    12898901 |  31.11 | silesia/webster |
| misa77 0.6.0 safe --1 |    403 MB/s |   9020 MB/s |    18359653 |  44.28 | silesia/webster |
