name,in_b,out_b,lut_b,m4_ns,m4_in,m4_out,m4_lut,c8i_ns,c8i_in,c8i_out,c8i_lut
merge_vec_vec,17,8,9,0.046,46.4,21.8,24.5,0.026,82.6,38.9,43.7
merge_cst_cst,1,8,0,0.019,6.5,52.2,0.0,0.010,12.2,97.7,0.0
merge_cst_vec,9,8,9,0.040,27.9,24.8,27.9,0.017,65.2,58.0,65.2
merge_flat_d2,2,8,8,0.019,13.2,52.9,52.9,0.031,8.0,32.0,32.0
merge_flat_d3,3,8,8,0.042,8.9,23.8,23.8,0.030,12.6,33.6,33.6
merge_flat_d4,4,8,8,0.019,26.2,52.3,52.3,0.031,16.1,32.2,32.2
merge_flat_d5,5,8,8,0.039,16.2,25.9,25.9,0.036,17.2,27.5,27.5
merge_flat_d6,6,8,8,0.047,16.1,21.4,21.4,0.048,15.5,20.7,20.7
merge_flat_d7,7,8,8,0.073,12.0,13.8,13.8,0.064,13.6,15.5,15.5
merge_flat_d8,8,8,8,0.064,15.5,15.5,15.5,0.019,51.8,51.8,51.8
