host,dataset,method,enc_op,enc_pb,dec_op,dec_pb,ratio_op,ratio_pb,builds
m4,proba80,ph,1477,3565,17476,17050,6.29,6.32,8
m4,proba80,pha,1255,2482,6566,6694,8.45,8.51,8
m4,proba80,ph_naive,1501,3683,16021,16967,6.29,6.32,8
m4,proba80,ph_flat,1483,3710,17564,17078,6.29,6.32,8
m4,proba80,td_naive,422,501,1351,1375,6.35,6.39,8
m4,proba80,td_scl_opt,500,621,1731,1733,6.29,6.32,8
m4,proba80,td_nv_simd,420,506,4697,4750,6.35,6.39,8
m4,proba80,td_simdopt,1406,3311,9934,9664,6.29,6.32,8
m4,proba80,huf0,1334,na,2929,na,6.40,na,8
m4,proba80,fse_stk,656,901,669,681,8.86,8.86,8
m4,proba80,fse_x8y1,378,908,654,684,8.86,8.86,8
m4,proba80,oo_huff,1740,na,3343,na,6.40,na,8
m4,proba80,oo_tans,713,na,2596,na,8.84,na,8
m4,english,ph,1459,2189,6981,7330,1.86,1.87,8
m4,english,pha,1447,2156,6963,6967,1.86,1.87,8
m4,english,ph_naive,1224,1700,5033,5010,1.85,1.85,8
m4,english,ph_flat,1367,1938,6059,6028,1.86,1.86,8
m4,english,td_naive,65,67,495,493,1.87,1.88,8
m4,english,td_scl_opt,151,157,790,788,1.86,1.87,8
m4,english,td_nv_simd,65,66,2285,2265,1.87,1.88,8
m4,english,td_simdopt,1379,2114,3326,3360,1.86,1.87,8
m4,english,huf0,1771,na,2747,na,1.88,na,8
m4,english,fse_stk,736,891,842,851,1.89,1.89,8
m4,english,fse_x8y1,1083,1946,1952,2116,1.89,1.89,8
m4,english,oo_huff,2520,na,3293,na,1.88,na,8
m4,english,oo_tans,814,na,2553,na,1.89,na,8
m4,html_wiki,ph,1231,1750,4730,4789,1.45,1.40,16
m4,html_wiki,pha,1174,1572,4682,4528,1.46,1.41,16
m4,html_wiki,ph_naive,892,1128,2815,2767,1.41,1.35,16
m4,html_wiki,ph_flat,1174,1674,4337,4417,1.45,1.40,16
m4,html_wiki,td_naive,68,72,380,370,1.46,1.41,16
m4,html_wiki,td_scl_opt,160,184,610,608,1.45,1.40,16
m4,html_wiki,td_nv_simd,68,71,1631,1580,1.46,1.41,16
m4,html_wiki,td_simdopt,1141,1779,2638,2636,1.45,1.40,16
m4,html_wiki,huf0,1766,na,2269,na,1.47,na,16
m4,html_wiki,fse_stk,739,875,830,845,1.48,1.46,16
m4,html_wiki,fse_x8y1,1164,1941,1975,2140,1.48,1.46,16
m4,html_wiki,oo_huff,2344,na,3262,na,1.47,na,16
m4,html_wiki,oo_tans,809,na,2501,na,1.48,na,16
m4,prose_pride,ph,1240,1809,5174,5233,1.72,1.72,12
m4,prose_pride,pha,1188,1662,5068,5146,1.72,1.72,12
m4,prose_pride,ph_naive,1033,1389,3719,3851,1.68,1.67,12
m4,prose_pride,ph_flat,1211,1712,4820,5081,1.72,1.71,12
m4,prose_pride,td_naive,61,62,448,452,1.73,1.72,12
m4,prose_pride,td_scl_opt,114,115,619,603,1.72,1.72,12
m4,prose_pride,td_nv_simd,62,63,1999,2023,1.73,1.72,12
m4,prose_pride,td_simdopt,1185,1812,2841,2791,1.72,1.72,12
m4,prose_pride,huf0,1722,na,2547,na,1.75,na,12
m4,prose_pride,fse_stk,744,892,839,854,1.76,1.76,12
m4,prose_pride,fse_x8y1,1072,1928,1948,2116,1.76,1.76,12
m4,prose_pride,oo_huff,2325,na,3158,na,1.75,na,12
m4,prose_pride,oo_tans,806,na,2521,na,1.76,na,12
m4,image_jpeg,ph,1292,2176,5291,6058,1.00,1.01,9
m4,image_jpeg,pha,1239,2059,4728,5612,1.01,1.01,9
m4,image_jpeg,ph_naive,576,719,1514,1621,0.94,0.94,9
m4,image_jpeg,ph_flat,1143,1552,4277,4034,1.00,1.00,9
m4,image_jpeg,td_naive,35,36,265,265,1.00,1.00,9
m4,image_jpeg,td_scl_opt,161,212,776,849,1.00,1.01,9
m4,image_jpeg,td_nv_simd,35,36,1067,1080,1.00,1.00,9
m4,image_jpeg,td_simdopt,1218,2216,2737,2904,1.00,1.01,9
m4,image_jpeg,huf0,na,na,na,na,na,na,na
m4,image_jpeg,fse_stk,na,na,na,na,na,na,na
m4,image_jpeg,fse_x8y1,1234,1954,2011,2143,1.01,1.01,9
m4,image_jpeg,oo_huff,2688,na,3220,na,1.01,na,9
m4,image_jpeg,oo_tans,819,na,2463,na,1.01,na,9
m4,json_api,ph,1200,1737,4484,4600,1.51,1.51,9
m4,json_api,pha,1160,1594,4417,4632,1.51,1.51,9
m4,json_api,ph_naive,961,1254,3244,3409,1.47,1.47,9
m4,json_api,ph_flat,1158,1622,4137,4356,1.50,1.50,9
m4,json_api,td_naive,91,97,398,400,1.52,1.52,9
m4,json_api,td_scl_opt,193,220,596,592,1.51,1.51,9
m4,json_api,td_nv_simd,91,96,1867,1851,1.52,1.52,9
m4,json_api,td_simdopt,1127,1723,2641,2676,1.51,1.51,9
m4,json_api,huf0,1753,na,2336,na,1.53,na,9
m4,json_api,fse_stk,757,892,838,856,1.54,1.54,9
m4,json_api,fse_x8y1,1056,1947,1983,2097,1.54,1.54,9
m4,json_api,oo_huff,2359,na,3233,na,1.53,na,9
m4,json_api,oo_tans,808,na,2493,na,1.54,na,9
m4,dna_fasta,ph,1413,2513,10150,10439,3.52,3.51,12
m4,dna_fasta,pha,1328,2307,6496,6702,3.79,3.78,12
m4,dna_fasta,ph_naive,1401,2527,10345,9910,3.52,3.51,12
m4,dna_fasta,ph_flat,1434,2530,10537,10377,3.52,3.51,12
m4,dna_fasta,td_naive,134,140,846,845,3.53,3.53,12
m4,dna_fasta,td_scl_opt,187,196,985,898,3.52,3.51,12
m4,dna_fasta,td_nv_simd,135,144,3443,3403,3.53,3.53,12
m4,dna_fasta,td_simdopt,1372,2496,4147,3953,3.52,3.51,12
m4,dna_fasta,huf0,1550,na,2789,na,3.55,na,12
m4,dna_fasta,fse_stk,706,897,843,856,3.83,3.83,12
m4,dna_fasta,fse_x8y1,741,1924,1906,2120,3.83,3.83,12
m4,dna_fasta,oo_huff,2144,na,3227,na,3.54,na,12
m4,dna_fasta,oo_tans,767,na,2530,na,3.83,na,12
m4,chinese_text,ph,1250,1760,4913,4928,1.35,1.33,12
m4,chinese_text,pha,1198,1437,4913,4539,1.35,1.33,12
m4,chinese_text,ph_naive,909,1158,2789,2909,1.32,1.29,12
m4,chinese_text,ph_flat,1131,1593,3989,4129,1.35,1.33,12
m4,chinese_text,td_naive,49,50,366,358,1.36,1.33,12
m4,chinese_text,td_scl_opt,123,128,637,624,1.35,1.33,12
m4,chinese_text,td_nv_simd,49,50,1661,1629,1.36,1.33,12
m4,chinese_text,td_simdopt,1199,1814,2728,2698,1.35,1.33,12
m4,chinese_text,huf0,1823,na,2235,na,1.37,na,12
m4,chinese_text,fse_stk,767,892,839,860,1.38,1.38,12
m4,chinese_text,fse_x8y1,1217,1940,1984,2148,1.38,1.38,12
m4,chinese_text,oo_huff,2461,na,3232,na,1.37,na,12
m4,chinese_text,oo_tans,813,na,2462,na,1.38,na,12
m4,calgary_pic,ph,1261,3111,10751,12375,4.64,4.64,12
m4,calgary_pic,pha,1076,2171,4139,4328,6.95,6.95,12
