host,dataset,engine,enc_op,enc_pb,dec_op,dec_pb,ratio_op,ratio_pb,builds
m4,proba80,ph,541,1926,13140,17833,6.29,6.32,8
m4,proba80,pha,493,1842,3902,4250,8.49,8.55,8
m4,proba80,td_naive,286,488,440,1269,6.35,6.39,8
m4,proba80,td_scl_opt,314,607,480,1677,6.29,6.32,8
m4,proba80,td_nv_simd,284,488,566,3686,6.35,6.39,8
m4,proba80,td_simdopt,541,2985,604,7005,6.29,6.32,8
m4,proba80,huf0,1363,2829,2878,2885,6.40,6.40,8
m4,proba80,huf0_stk,1304,,2868,,6.40,,8
m4,proba80,fse_stk,654,887,672,685,8.86,8.86,8
m4,proba80,fse_x8y1,,,,,,,
m4,proba80,oo_huff,1754,,3216,,6.40,,8
m4,proba80,oo_tans,706,,2703,,8.84,,8
m4,prose_pride,ph,951,1621,3708,5178,1.72,1.72,8
m4,prose_pride,pha,868,1498,3976,5135,1.72,1.72,8
m4,prose_pride,td_naive,60,62,364,439,1.73,1.72,8
m4,prose_pride,td_scl_opt,108,112,474,601,1.72,1.72,8
m4,prose_pride,td_nv_simd,60,62,965,1794,1.73,1.72,8
m4,prose_pride,td_simdopt,910,1620,1134,2556,1.72,1.72,8
m4,prose_pride,huf0,1708,2919,2643,2721,1.74,1.75,8
m4,prose_pride,huf0_stk,1729,,2549,,1.74,,8
m4,prose_pride,fse_stk,772,889,851,868,1.76,1.76,8
m4,prose_pride,fse_x8y1,1050,1898,2040,2090,1.76,1.76,8
m4,prose_pride,oo_huff,2320,,3178,,1.75,,8
m4,prose_pride,oo_tans,818,,2469,,1.76,,8
c8i,proba80,ph,626,7437,25174,41271,6.29,6.32,8
c8i,proba80,pha,548,2720,2984,3138,8.49,8.55,8
c8i,proba80,td_naive,227,339,232,353,6.35,6.39,8
c8i,proba80,td_scl_opt,258,416,377,838,6.29,6.32,8
c8i,proba80,td_nv_simd,227,339,549,2759,6.35,6.39,8
c8i,proba80,td_simdopt,628,7805,635,8758,6.31,6.35,8
c8i,proba80,huf0,1148,2061,1942,1996,6.40,6.40,8
c8i,proba80,huf0_stk,1148,,1944,,6.40,,8
c8i,proba80,fse_stk,574,754,538,547,8.86,8.86,8
c8i,proba80,fse_x8y1,,,,,,,
c8i,prose_pride,ph,1007,2242,3157,6910,1.72,1.72,8
c8i,prose_pride,pha,924,1893,3156,6863,1.72,1.72,8
