host,compiler,distribution,decoder,throughput_gbs,bpc
m4,clang_latest,proba80,naive_simd,4.4347,1.2524
m4,clang_latest,proba80,simd_opt,8.9115,1.2651
m4,clang_latest,proba80,naive,1.3090,1.2524
m4,clang_latest,proba80,scalar_opt,1.8148,1.2651
m4,clang_latest,proba80,huf0_x2,2.8618,1.2514
m4,clang_latest,prose_pride,naive_simd,1.8398,4.6397
m4,clang_latest,prose_pride,simd_opt,2.7262,4.6562
m4,clang_latest,prose_pride,naive,0.4455,4.6397
m4,clang_latest,prose_pride,scalar_opt,0.6020,4.6562
m4,clang_latest,prose_pride,huf0_x2,2.5447,4.5831
test_c8i,clang_latest,proba80,naive_simd,3.6334,1.2524
test_c8i,clang_latest,proba80,simd_opt,8.2229,1.2602
test_c8i,clang_latest,proba80,naive,0.3319,1.2524
test_c8i,clang_latest,proba80,scalar_opt,0.7612,1.2651
test_c8i,clang_latest,proba80,huf0_x2,1.8185,1.2514
test_c8i,clang_latest,prose_pride,naive_simd,0.8836,4.6397
test_c8i,clang_latest,prose_pride,simd_opt,2.1290,4.6386
test_c8i,clang_latest,prose_pride,naive,0.0478,4.6397
test_c8i,clang_latest,prose_pride,scalar_opt,0.0704,4.6562
test_c8i,clang_latest,prose_pride,huf0_x2,1.6623,4.5831
