host,compiler,distribution,decoder,primitive,calls,elements,ticks,ns_per_elem,ns_per_call
m4,clang_latest,proba80,naive,p_partition,640000,1311456000,521040248,0.397305,814.137095
m4,clang_latest,proba80,naive,s1_scatter,765500,1048576000,259701094,0.247674,339.261696
m4,clang_latest,proba80,naive_simd,simd_partition,640000,1311456000,80229840,0.061177,125.360928
m4,clang_latest,proba80,naive_simd,simd_s1_scatter,765500,1048576000,132426274,0.126293,172.995661
m4,clang_latest,proba80,scalar_opt,p_partition,384000,260847000,103844843,0.398112,270.433167
m4,clang_latest,proba80,scalar_opt,p_half_right,128000,1048576000,383584071,0.365820,2996.793649
m4,clang_latest,proba80,scalar_opt,s1_scatter,384000,207986000,53534475,0.257398,139.414700
m4,clang_latest,proba80,scalar_opt,s2_scatter_both,128000,2033000,1039961,0.511547,8.124812
m4,clang_latest,proba80,simd_opt,simd_partition,384000,260847000,16559930,0.063486,43.125438
m4,clang_latest,proba80,simd_opt,simd_partition_root_half_right,128000,1048576000,51849521,0.049448,405.080208
m4,clang_latest,proba80,simd_opt,simd_s1_scatter,384000,207986000,27795909,0.133645,72.386221
m4,clang_latest,proba80,simd_opt,simd_s2_scatter_both,128000,2033000,446203,0.219483,3.486011
m4,clang_latest,prose_pride,naive,p_partition,10150500,4825964000,1963289715,0.406824,193.420812
m4,clang_latest,prose_pride,naive,s1_scatter,8893500,1048576000,307355183,0.293121,34.560027
m4,clang_latest,prose_pride,naive_simd,simd_partition,10150500,4825964000,320707035,0.066455,31.595650
m4,clang_latest,prose_pride,naive_simd,simd_s1_scatter,8893500,1048576000,178907677,0.170622,20.116967
m4,clang_latest,prose_pride,scalar_opt,p_partition,1792000,3125605500,1263869874,0.404366,705.294670
m4,clang_latest,prose_pride,scalar_opt,p_half_right,128000,277315000,113085338,0.407792,883.491908
m4,clang_latest,prose_pride,scalar_opt,s1_scatter,896000,208865000,59467221,0.284720,66.370621
m4,clang_latest,prose_pride,scalar_opt,s2_scatter_both,386500,193893000,62190260,0.320750,160.908549
m4,clang_latest,prose_pride,scalar_opt,sfx_scatter_flat,512000,470819500,184469877,0.391812,360.297910
m4,clang_latest,prose_pride,simd_opt,simd_partition,1664000,2077029500,132621260,0.063852,79.701423
m4,clang_latest,prose_pride,simd_opt,simd_partition_half_right,128000,277315000,13413706,0.048371,104.796085
m4,clang_latest,prose_pride,simd_opt,simd_partition_root,128000,1048576000,66987808,0.063885,523.349776
m4,clang_latest,prose_pride,simd_opt,simd_s1_scatter,896000,208865000,31757076,0.152048,35.443675
m4,clang_latest,prose_pride,simd_opt,simd_s2_scatter_both,386500,193893000,31589508,0.162925,81.733408
m4,clang_latest,prose_pride,simd_opt,simd_sfx_scatter_flat,512000,470819500,75839001,0.161081,148.125179
test_c8i,clang_latest,proba80,naive,p_partition,640000,1311456000,7637203274,2.156841,4419.690724
test_c8i,clang_latest,proba80,naive,s1_scatter,765500,1048576000,613789278,0.216799,296.969335
test_c8i,clang_latest,proba80,naive_simd,simd_partition,640000,1311456000,209873352,0.059271,121.454841
test_c8i,clang_latest,proba80,naive_simd,simd_s1_scatter,765500,1048576000,406255094,0.143495,196.558183
test_c8i,clang_latest,proba80,scalar_opt,p_partition,384000,260847000,1464524470,2.079449,1412.547016
test_c8i,clang_latest,proba80,scalar_opt,p_half_right,128000,1048576000,1839523392,0.649745,5322.710540
test_c8i,clang_latest,proba80,scalar_opt,s1_scatter,384000,207986000,118138578,0.210375,113.945720
test_c8i,clang_latest,proba80,scalar_opt,s2_scatter_both,128000,2033000,19039360,3.468586,55.090902
test_c8i,clang_latest,proba80,simd_opt,simd_partition,384000,260847000,57202180,0.081220,55.172017
test_c8i,clang_latest,proba80,simd_opt,simd_partition_root_half_right,128000,1048576000,102125672,0.036072,295.503386
test_c8i,clang_latest,proba80,simd_opt,simd_s1_scatter,384000,207986000,92528776,0.164771,89.244836
test_c8i,clang_latest,proba80,simd_opt,simd_s2_scatter_both,128000,2033000,7268594,1.324191,21.031873
test_c8i,clang_latest,prose_pride,naive,p_partition,10150500,4825964000,57047598676,4.378152,2081.552824
test_c8i,clang_latest,prose_pride,naive,s1_scatter,8893500,1048576000,957705120,0.338275,39.883807
test_c8i,clang_latest,prose_pride,naive_simd,simd_partition,10150500,4825964000,1218437992,0.093510,44.458366
test_c8i,clang_latest,prose_pride,naive_simd,simd_s1_scatter,8893500,1048576000,873275614,0.308453,36.367724
test_c8i,clang_latest,prose_pride,scalar_opt,p_partition,1792000,3125605500,35724530506,4.233211,7383.563742
test_c8i,clang_latest,prose_pride,scalar_opt,p_half_right,128000,277315000,494812482,0.660853,1431.753260
