# bench_golomb — Rice (Golomb-k, M=2^k) vs fast FSE (x=8)
# bitmap size: 1024 B (8192 bits).  Iters/cell: 50000.  Min of 5 batches.
# size columns are in BYTES.  Speed columns in MB/s of input bitmap.
# entropy column is Shannon H(p_major) in bits/bit — the information
# lower bound on encoded size.  ratio columns are encoded_bits / bitmap_bits.
# Rice 'k' is auto-picked per p_major; column reports the chosen value.
# FSE column: x=8 cursors, y=1 round — the fast-FSE wide-cursor variant.
#
 pmaj  tid entropy |   k   Rsz  Rrat  RencMB  RdecMB |   x   Fsz  Frat  FencMB  FdecMB
0.505    1  0.9999 |   0  1027 1.003    78.6   110.8 |   8  1029 1.005  1904.2  2227.0
0.552    1  0.9923 |   0  1027 1.003    80.6   126.4 |   8  1029 1.005  1913.9  2220.0
0.596    2  0.9734 |   0  1027 1.003    84.6   142.8 |   8  1002 0.979  1849.4  2013.6
0.645    2  0.9388 |   0  1027 1.003    90.6   164.2 |   8   979 0.956  1827.0  1966.7
0.700    3  0.8815 |   1   913 0.892    92.8   201.6 |   8   917 0.896  1828.9  1981.6
0.751    5  0.8089 |   1   841 0.821    99.6   238.1 |   8   835 0.815  1836.1  1991.6
0.791    6  0.7391 |   1   790 0.771   104.7   278.5 |   8   763 0.745  1831.1  2011.2
0.843    7  0.6276 |   2   650 0.635   114.1   360.0 |   8   654 0.639  1813.7  1971.1
0.897   10  0.4774 |   3   500 0.488   121.3   533.7 |   8   506 0.494  1819.9  1995.8
0.945   13  0.3080 |   4   325 0.317   124.3   978.1 |   8   332 0.324  1820.3  1973.4
0.992   24  0.0685 |   6    74 0.072   141.8  6436.2 |   8    99 0.097  1808.5  1915.6
