# bench_golomb — Rice (Golomb-k, M=2^k) vs fast FSE (x=8)
# bitmap size: 1024 B (8192 bits).  Iters/cell: 50000.  Min of 5 batches.
# size columns are in BYTES.  Speed columns in MB/s of input bitmap.
# entropy column is Shannon H(p_major) in bits/bit — the information
# lower bound on encoded size.  ratio columns are encoded_bits / bitmap_bits.
# Rice 'k' is auto-picked per p_major; column reports the chosen value.
# FSE column: x=8 cursors, y=1 round — the fast-FSE wide-cursor variant.
# EWAH column: Lemire's Enhanced Word-Aligned Hybrid (ext/ewah,
#   github.com/lemire/EWAHBoolArray), uword = uint64_t.
#
 pmaj  tid entropy |   k   Rsz  Rrat  RencMB  RdecMB |   x   Fsz  Frat  FencMB  FdecMB |   Esz  Erat  EencMB  EdecMB
0.505    1  0.9999 |   0  1027 1.003    81.5   114.2 |   8  1029 1.005  1898.0  2269.2 |  1040 1.016    92.1   138.6
0.552    1  0.9923 |   0  1027 1.003    84.2   126.5 |   8  1029 1.005  1930.3  2212.8 |  1040 1.016    99.7   152.7
0.596    2  0.9734 |   0  1027 1.003    87.2   143.2 |   8  1002 0.979  1813.9  2004.3 |  1040 1.016   108.6   158.4
0.645    2  0.9388 |   0  1027 1.003    93.0   169.2 |   8   979 0.956  1832.4  2023.3 |  1040 1.016   120.3   176.3
0.700    3  0.8815 |   1   913 0.892    94.9   204.6 |   8   917 0.896  1865.0  2006.9 |  1040 1.016   136.0   200.2
0.751    5  0.8089 |   1   841 0.821   101.8   245.6 |   8   835 0.815  1844.6  1990.5 |  1040 1.016   157.1   209.7
0.791    6  0.7391 |   1   790 0.771   108.2   284.1 |   8   763 0.745  1843.5  1981.5 |  1040 1.016   175.5   234.5
0.843    7  0.6276 |   2   650 0.635   116.8   368.1 |   8   654 0.639  1862.6  2006.7 |  1040 1.016   203.8   312.8
0.897   10  0.4774 |   3   500 0.488   125.4   540.4 |   8   506 0.494  1835.2  2024.2 |  1040 1.016   245.0   549.9
0.945   13  0.3080 |   4   325 0.317   128.1   958.7 |   8   332 0.324  1832.4  1980.3 |  1040 1.016   283.8  1117.3
0.992   24  0.0685 |   6    74 0.072   146.4  6172.4 |   8    99 0.097  1839.8  1928.4 |   632 0.617   289.1  4198.1
