Bottom-up vs top-down NEON decoder (reps=10000, nblocks=32/run)
DIST            |  td_M/s  bu_M/s |    Δ%
----------------|-----------------|-------
proba80         |    9679    9185 |  -5.1%
proba50         |    5115    5563 |  +8.8%
proba14         |    2934    3205 |  +9.2%
proba02         |    2670    2923 |  +9.5%
bell_s10        |    3294    4262 | +29.4%
bell_s30        |    2609    2783 |  +6.7%
bell_s80        |    2929    3313 | +13.1%
uniform         |    5230    5261 |  +0.6%
english         |    3371    4002 | +18.7%
zipfian         |    2680    2696 |  +0.6%
sparse_4        |   45549   48454 |  +6.4%
sparse_16       |   44793   49540 | +10.6%
geometric       |    4652    4802 |  +3.2%
two_sym_eq      |   25385   25596 |  +0.8%
two_sym_90/10   |   25567   25638 |  +0.3%
flat_M3         |   22645   22744 |  +0.4%
flat_M5         |   24250   24974 |  +3.0%
flat_M6         |   20616   20630 |  +0.1%
flat_M7         |    5110    5087 |  -0.5%
html_wiki       |    2636    2797 |  +6.1%
prose_pride     |    2787    2990 |  +7.3%
image_jpeg      |    2842    3125 |  +9.9%
json_api        |    2699    2761 |  +2.3%
source_c        |    3070    3080 |  +0.3%
log_apache      |    2617    2857 |  +9.2%
dna_fasta       |    3948    5297 | +34.2%
csv_numeric     |    3642    4177 | +14.7%
gzip_random     |    5205    5171 |  -0.7%
chinese_text    |    2724    3051 | +12.0%
