Bottom-up vs top-down x86 decoder (reps=5000, nblocks=32/run)
DIST            |  td_M/s  bu_M/s |    Δ%
----------------|-----------------|-------
proba80         |    3017    4047 | +34.1%
proba50         |    1645    2412 | +46.7%
proba14         |     927    1148 | +23.8%
proba02         |     807     986 | +22.2%
bell_s10        |    1115    1609 | +44.3%
bell_s30        |     809    1000 | +23.5%
bell_s80        |     967    1241 | +28.3%
uniform         |    2990    2826 |  -5.5%
english         |    1037    1377 | +32.8%
zipfian         |     855    1012 | +18.4%
sparse_4        |    2815    2815 |  +0.0%
sparse_16       |   21305   21322 |  +0.1%
geometric       |    1541    2051 | +33.1%
two_sym_eq      |   27676   24422 | -11.8%
two_sym_90/10   |   27631   24391 | -11.7%
flat_M3         |    2633    2631 |  -0.1%
flat_M5         |    2290    2294 |  +0.2%
flat_M6         |    2340    2335 |  -0.2%
flat_M7         |    2293    2296 |  +0.1%
html_wiki       |     823     957 | +16.3%
prose_pride     |     893    1136 | +27.3%
image_jpeg      |     933    1171 | +25.4%
json_api        |     807     981 | +21.5%
source_c        |     947    1135 | +19.9%
log_apache      |     812     961 | +18.2%
dna_fasta       |    1292    2496 | +93.2%
csv_numeric     |    1145    1660 | +45.0%
gzip_random     |    2997    2823 |  -5.8%
chinese_text    |     855    1102 | +28.9%
