Bottom-up vs top-down NEON decoder (reps=10000, nblocks=32/run)
DIST            |  td_M/s  bu_M/s |    Δ%
----------------|-----------------|-------
proba80         |    4499    4644 |  +3.2%
proba50         |    2166    2859 | +32.0%
proba14         |    1253    1670 | +33.2%
proba02         |    1113    1505 | +35.3%
bell_s10        |    1492    2194 | +47.0%
bell_s30        |    1099    1443 | +31.3%
bell_s80        |    1341    1719 | +28.2%
uniform         |    2357    2407 |  +2.1%
english         |    1404    2074 | +47.7%
zipfian         |    1178    1383 | +17.4%
sparse_4        |   19170   18489 |  -3.6%
sparse_16       |   17809   17627 |  -1.0%
geometric       |    2080    2408 | +15.8%
two_sym_eq      |   12965   12871 |  -0.7%
two_sym_90/10   |   12960   12875 |  -0.7%
flat_M3         |   10531   10627 |  +0.9%
flat_M5         |   11161   11120 |  -0.4%
flat_M6         |    9603    9572 |  -0.3%
flat_M7         |    2551    2567 |  +0.6%
html_wiki       |    1143    1438 | +25.8%
prose_pride     |    1195    1542 | +29.0%
image_jpeg      |    1279    1602 | +25.3%
json_api        |    1124    1414 | +25.8%
source_c        |    1310    1574 | +20.1%
log_apache      |    1104    1472 | +33.4%
dna_fasta       |    1661    2761 | +66.2%
csv_numeric     |    1567    2177 | +38.9%
gzip_random     |    2435    2432 |  -0.1%
chinese_text    |    1149    1559 | +35.7%
