Bottom-up vs top-down x86 decoder (reps=5000, nblocks=32/run)
DIST            |  td_M/s  bu_M/s |    Δ%
----------------|-----------------|-------
proba80         |    2456   10972 | +346.7%
proba50         |    1673    6590 | +293.9%
proba14         |    1114    2519 | +126.1%
proba02         |    1109    2228 | +101.0%
bell_s10        |    1361    3331 | +144.7%
bell_s30        |    1074    2230 | +107.6%
bell_s80        |    1293    2458 | +90.1%
uniform         |    3557    4416 | +24.2%
english         |    1241    2728 | +119.9%
zipfian         |    1089    2325 | +113.6%
sparse_4        |    3927    3869 |  -1.5%
sparse_16       |   22521   22318 |  -0.9%
geometric       |    1605    5357 | +233.8%
two_sym_eq      |   25182   25150 |  -0.1%
two_sym_90/10   |   25192   25159 |  -0.1%
flat_M3         |    3609    2846 | -21.1%
flat_M5         |    4410    4103 |  -7.0%
flat_M6         |    2890    3090 |  +6.9%
flat_M7         |    3727    3575 |  -4.1%
html_wiki       |    1027    1988 | +93.6%
prose_pride     |    1057    2521 | +138.5%
image_jpeg      |    1242    2354 | +89.5%
json_api        |    1029    2151 | +109.1%
source_c        |    1153    2600 | +125.5%
log_apache      |    1024    2027 | +98.0%
dna_fasta       |    1352    6373 | +371.4%
csv_numeric     |    1339    3812 | +184.8%
gzip_random     |    3554    4361 | +22.7%
chinese_text    |    1066    2533 | +137.7%
