distribution          c17       c22       g15   c22/c17   g15/c17
csv_numeric          3573      3563      3326     -0.3%     -6.9%
html_wiki            2455      2421      2168     -1.4%    -11.7%
json_api             2597      2602      2424      0.2%     -6.7%
two_sym_eq          26138     26204     28583      0.3%      9.4%
bell_s10             3203      3125      2983     -2.5%     -6.9%
two_sym_90/10       26156     26229     28513      0.3%      9.0%
gzip_random          4101      4083      4096     -0.4%     -0.1%
geometric            5014      5076      4817      1.2%     -3.9%
proba14              2840      2820      2673     -0.7%     -5.9%
bell_s30             2425      2378      2095     -1.9%    -13.6%
dna_fasta            3836      3841      3743      0.1%     -2.4%
source_c             2891      2898      2610      0.3%     -9.7%
bell_s80             2911      2933      2826      0.8%     -2.9%
proba80              9383      9574      9363      2.0%     -0.2%
flat_M3             23466     28251     18109     20.4%    -22.8%
chinese_text         2625      2599      2426     -1.0%     -7.6%
flat_M5             27621     28131     13448      1.8%    -51.3%
proba02              2617      2601      2362     -0.6%     -9.8%
flat_M6             21204     23192     11058      9.4%    -47.8%
flat_M7              5059      5072      5361      0.3%      6.0%
uniform              4077      4107      4102      0.7%      0.6%
proba50              5035      5099      4892      1.3%     -2.8%
prose_pride          2634      2642      2443      0.3%     -7.3%
sparse_16           45740     53019     58895     15.9%     28.8%
english              3296      3318      3094      0.7%     -6.1%
sparse_4            48197     54227     50649     12.5%      5.1%
zipfian              2657      2657      2497      0.0%     -6.0%
image_jpeg           2830      2803      2693     -1.0%     -4.8%
log_apache           2552      2517      2326     -1.3%     -8.8%
