fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     417    1474 |    8382    8815 |  6.29  6.32 |   8
pha      |     383    1118 |    3565    3630 |  8.45  8.51 |   8
td_naive |     210     331 |     345     346 |  6.35  6.39 |   8
td_scl_opt |     235     396 |     654     654 |  6.29  6.32 |   8
td_nv_simd |     209     328 |    1934    1936 |  6.35  6.39 |   8
td_simdopt |     416    1478 |    4368    4383 |  6.29  6.32 |   8
huf0     |     806     -   |    1935     -   |  6.40   -   |   8
huf0_4x2 |     806    1630 |    1970    1979 |  6.40  6.40 |   8
fse_stk  |     434     608 |     479     489 |  8.86  8.86 |   8
fse_x8y1 |     291     608 |     471     489 |  8.86  8.86 |   8
oo_huff  |     967     -   |    1784     -   |  6.40   -   |   8
oo_tans  |     357     -   |    1461     -   |  8.84   -   |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     643     914 |    3082    3153 |  1.86  1.87 |   8
pha      |     641     911 |    3114    3165 |  1.86  1.87 |   8
td_naive |      49      50 |      63      63 |  1.87  1.88 |   8
td_scl_opt |     106     112 |     119     119 |  1.86  1.87 |   8
td_nv_simd |      49      50 |     852     851 |  1.87  1.88 |   8
td_simdopt |     634     918 |    1378    1381 |  1.86  1.87 |   8
huf0     |     968     -   |    1875     -   |  1.88   -   |   8
huf0_4x2 |     968    1623 |    1867    1927 |  1.88  1.88 |   8
fse_stk  |     479     606 |     572     581 |  1.89  1.89 |   8
fse_x8y1 |     609     914 |    1158    1256 |  1.89  1.89 |   8
oo_huff  |    1170     -   |    1806     -   |  1.88   -   |   8
oo_tans  |     378     -   |    1450     -   |  1.89   -   |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     506     752 |    2216    2285 |  1.41  1.40 |   8
pha      |     501     745 |    2180    2281 |  1.41  1.40 |   8
td_naive |      37      38 |      49      49 |  1.40  1.40 |   8
td_scl_opt |      82      88 |      87      88 |  1.41  1.40 |   8
td_nv_simd |      37      38 |     617     614 |  1.40  1.40 |   8
td_simdopt |     477     758 |    1115    1118 |  1.41  1.40 |   8
huf0     |     965     -   |    1612     -   |  1.44   -   |   8
huf0_4x2 |     965    1620 |    1500    1562 |  1.44  1.44 |   8
fse_stk  |     482     605 |     565     580 |  1.45  1.46 |   8
fse_x8y1 |     605     910 |    1161    1246 |  1.45  1.46 |   8
oo_huff  |    1077     -   |    1789     -   |  1.44   -   |   8
oo_tans  |     375     -   |    1433     -   |  1.45   -   |   8

== prose_pride      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     547     764 |    2359    2460 |  1.72  1.72 |   8
pha      |     526     727 |    2326    2462 |  1.72  1.72 |   8
td_naive |      45      46 |      59      59 |  1.73  1.72 |   8
td_scl_opt |      79      82 |      87      86 |  1.72  1.72 |   8
td_nv_simd |      45      46 |     763     764 |  1.73  1.72 |   8
td_simdopt |     529     769 |    1184    1174 |  1.72  1.72 |   8
huf0     |     962     -   |    1783     -   |  1.74   -   |   8
huf0_4x2 |     962    1624 |    1746    1810 |  1.74  1.74 |   8
fse_stk  |     478     606 |     570     580 |  1.76  1.76 |   8
fse_x8y1 |     608     913 |    1159    1258 |  1.76  1.76 |   8
oo_huff  |    1118     -   |    1797     -   |  1.75   -   |   8
