[100%] Built target pivco_fair_bench
fair-bench: 1 MB-class buffer = 1024 KB, best of 10x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     821    1623 |    8461    8843 |  6.29  6.32 |   8
pha      |     686    1197 |    3572    3642 |  8.45  8.51 |   8
td_naive |     278     335 |     347     351 |  6.35  6.39 |   8
td_scl_opt |     317     394 |     656     655 |  6.29  6.32 |   8
td_nv_simd |     277     334 |    1939    1940 |  6.35  6.39 |   8
td_simdopt |     776    1476 |    4371    4373 |  6.29  6.32 |   8
huf0     |     807     -   |    1939     -   |  6.40   -   |   8
huf0_4x2 |     807    1629 |    1974    1983 |  6.40  6.40 |   8
fse_stk  |     434     608 |     480     489 |  8.86  8.86 |   8
fse_x8y1 |     290     609 |     471     489 |  8.86  8.86 |   8
oo_huff  |     966     -   |    1788     -   |  6.40   -   |   8
oo_tans  |     355     -   |    1454     -   |  8.84   -   |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     680     934 |    3116    3171 |  1.86  1.87 |   8
pha      |     678     933 |    3118    3202 |  1.86  1.87 |   8
td_naive |      49      50 |      64      64 |  1.87  1.88 |   8
td_scl_opt |     106     112 |     118     118 |  1.86  1.87 |   8
td_nv_simd |      49      50 |     855     855 |  1.87  1.88 |   8
td_simdopt |     658     918 |    1383    1384 |  1.86  1.87 |   8
huf0     |     971     -   |    1875     -   |  1.88   -   |   8
huf0_4x2 |     971    1625 |    1869    1926 |  1.88  1.88 |   8
fse_stk  |     479     606 |     572     580 |  1.89  1.89 |   8
fse_x8y1 |     609     913 |    1164    1251 |  1.89  1.89 |   8
oo_huff  |    1170     -   |    1806     -   |  1.88   -   |   8
oo_tans  |     377     -   |    1450     -   |  1.89   -   |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     537     759 |    2228    2284 |  1.41  1.40 |   8
