[100%] Built target pivco_fair_bench
fair-bench: 1 MB-class buffer = 1024 KB, best of 10x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     429    1628 |    8397    8791 |  6.29  6.32 |   8
pha      |     389    1195 |    3570    3647 |  8.45  8.51 |   8
td_naive |     212     336 |     349     350 |  6.35  6.39 |   8
td_scl_opt |     233     395 |     656     655 |  6.29  6.32 |   8
td_nv_simd |     212     335 |    1939    1937 |  6.35  6.39 |   8
td_simdopt |     416    1478 |    4369    4381 |  6.29  6.32 |   8
huf0     |     807     -   |    1940     -   |  6.40   -   |   8
huf0_4x2 |     807    1629 |    1965    1975 |  6.40  6.40 |   8
fse_stk  |     432     608 |     480     489 |  8.86  8.86 |   8
fse_x8y1 |     290     609 |     471     489 |  8.86  8.86 |   8
oo_huff  |     966     -   |    1789     -   |  6.40   -   |   8
oo_tans  |     357     -   |    1453     -   |  8.84   -   |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     652     933 |    3101    3190 |  1.86  1.87 |   8
pha      |     651     932 |    3105    3153 |  1.86  1.87 |   8
td_naive |      49      51 |      64      64 |  1.87  1.88 |   8
td_scl_opt |     106     112 |     118     118 |  1.86  1.87 |   8
td_nv_simd |      49      51 |     854     853 |  1.87  1.88 |   8
td_simdopt |     634     918 |    1377    1379 |  1.86  1.87 |   8
huf0     |     970     -   |    1877     -   |  1.88   -   |   8
huf0_4x2 |     971    1625 |    1869    1926 |  1.88  1.88 |   8
fse_stk  |     480     606 |     572     582 |  1.89  1.89 |   8
fse_x8y1 |     609     913 |    1162    1251 |  1.89  1.89 |   8
oo_huff  |    1168     -   |    1808     -   |  1.88   -   |   8
oo_tans  |     377     -   |    1445     -   |  1.89   -   |   8

