[100%] Built target pivco_bench_golomb
fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     429    1621 |    8458    8774 |  6.29  6.32 |   8
pha      |     388    1190 |    3582    3645 |  8.45  8.51 |   8
td_naive |     211     333 |     349     349 |  6.35  6.39 |   8
td_scl_opt |     235     395 |     655     655 |  6.29  6.32 |   8
td_nv_simd |     212     334 |    1937    1939 |  6.35  6.39 |   8
td_simdopt |     416    1478 |    4368    4371 |  6.29  6.32 |   8
huf0     |     806     -   |    1940     -   |  6.40   -   |   8
huf0_4x2 |     806    1629 |    1966    1976 |  6.40  6.40 |   8
fse_stk  |     434     608 |     477     488 |  8.86  8.86 |   8
fse_x8y1 |     291     609 |     471     488 |  8.86  8.86 |   8
oo_huff  |     967     -   |    1786     -   |  6.40   -   |   8
oo_tans  |     357     -   |    1461     -   |  8.84   -   |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     652     935 |    3105    3180 |  1.86  1.87 |   8
pha      |     651     931 |    3103    3171 |  1.86  1.87 |   8
td_naive |      49      50 |      64      64 |  1.87  1.88 |   8
td_scl_opt |     106     112 |     118     118 |  1.86  1.87 |   8
td_nv_simd |      49      50 |     853     854 |  1.87  1.88 |   8
td_simdopt |     634     915 |    1385    1385 |  1.86  1.87 |   8
huf0     |     967     -   |    1878     -   |  1.88   -   |   8
huf0_4x2 |     967    1623 |    1868    1926 |  1.88  1.88 |   8
fse_stk  |     475     606 |     572     581 |  1.89  1.89 |   8
fse_x8y1 |     609     914 |    1161    1250 |  1.89  1.89 |   8
oo_huff  |    1172     -   |    1805     -   |  1.88   -   |   8
oo_tans  |     377     -   |    1452     -   |  1.89   -   |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     508     758 |    2221    2281 |  1.41  1.40 |   8
pha      |     504     750 |    2219    2283 |  1.41  1.40 |   8
td_naive |      38      39 |      49      49 |  1.40  1.40 |   8
td_scl_opt |      82      88 |      86      87 |  1.41  1.40 |   8
