fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     630    7582 |   35974   40697 |  6.29  6.32 |   8
pha      |     561    3019 |    5295    5371 |  8.45  8.51 |   8
td_naive |     227     340 |     356     355 |  6.35  6.39 |   8
td_scl_opt |     259     417 |     839     838 |  6.29  6.32 |   8
td_nv_simd |     227     340 |    2752    2748 |  6.35  6.39 |   8
td_simdopt |     631    7849 |    8620    8759 |  6.31  6.35 |   8
huf0     |    1148     -   |    1945     -   |  6.40   -   |   8
huf0_4x2 |    1148    2071 |    1978    2004 |  6.40  6.40 |   8
fse_stk  |     574     755 |     538     547 |  8.86  8.86 |   8
fse_x8y1 |     353     755 |     530     548 |  8.86  8.86 |   8
oo_huff  |    1291     -   |    2133     -   |  6.40   -   |   8
oo_tans  |     472     -   |    1463     -   |  8.84   -   |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1402    2778 |    9229    9994 |  1.86  1.87 |   8
pha      |    1398    2768 |    9235    9845 |  1.86  1.87 |   8
td_naive |      47      48 |      57      57 |  1.87  1.88 |   8
td_scl_opt |     102     107 |     106     106 |  1.86  1.87 |   8
td_nv_simd |      47      48 |    1622    1623 |  1.87  1.88 |   8
td_simdopt |    1371    2923 |    3182    3180 |  1.87  1.87 |   8
huf0     |    1313     -   |    1893     -   |  1.88   -   |   8
huf0_4x2 |    1315    2089 |    1879    1945 |  1.88  1.88 |   8
fse_stk  |     619     750 |     526     530 |  1.89  1.89 |   8
fse_x8y1 |     720     987 |    1334    1399 |  1.89  1.89 |   8
oo_huff  |    1440     -   |    2125     -   |  1.88   -   |   8
oo_tans  |     492     -   |    1431     -   |  1.89   -   |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1006    1976 |    5531    5924 |  1.41  1.40 |   8
pha      |     989    1914 |    5614    5934 |  1.41  1.40 |   8
td_naive |      36      37 |      44      44 |  1.40  1.40 |   8
td_scl_opt |      79      84 |      78      78 |  1.41  1.40 |   8
td_nv_simd |      36      37 |     975     977 |  1.40  1.40 |   8
td_simdopt |     882    2050 |    2525    2515 |  1.41  1.41 |   8
huf0     |    1290     -   |    1622     -   |  1.44   -   |   8
huf0_4x2 |    1289    2069 |    1510    1568 |  1.44  1.44 |   8
fse_stk  |     615     743 |     524     531 |  1.45  1.46 |   8
fse_x8y1 |     731     965 |    1328    1397 |  1.45  1.46 |   8
oo_huff  |    1246     -   |    2103     -   |  1.44   -   |   8
oo_tans  |     485     -   |    1406     -   |  1.45   -   |   8

== prose_pride      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1113    2241 |    5610    6840 |  1.72  1.72 |   8
pha      |    1041    2005 |    5610    6928 |  1.72  1.72 |   8
td_naive |      43      44 |      53      53 |  1.73  1.72 |   8
td_scl_opt |      76      78 |      76      74 |  1.72  1.72 |   8
td_nv_simd |      43      44 |    1290    1301 |  1.73  1.72 |   8
