[100%] Built target pivco_fair_bench
fair-bench: 1 MB-class buffer = 1024 KB, best of 10x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1684    8952 |   35510   40604 |  6.29  6.32 |   8
pha      |    1262    3166 |    5319    5426 |  8.45  8.51 |   8
td_naive |     292     339 |     355     352 |  6.35  6.39 |   8
td_scl_opt |     346     414 |     838     839 |  6.29  6.32 |   8
td_nv_simd |     292     339 |    2750    2750 |  6.35  6.39 |   8
td_simdopt |    1641    7893 |    8769    8768 |  6.31  6.35 |   8
huf0     |    1149     -   |    1947     -   |  6.40   -   |   8
huf0_4x2 |    1149    2061 |    1969    2001 |  6.40  6.40 |   8
fse_stk  |     575     756 |     538     547 |  8.86  8.86 |   8
fse_x8y1 |     353     755 |     530     547 |  8.86  8.86 |   8
oo_huff  |    1295     -   |    2131     -   |  6.40   -   |   8
oo_tans  |     472     -   |    1459     -   |  8.84   -   |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1550    3026 |    9345   10113 |  1.86  1.87 |   8
pha      |    1541    3030 |    9398   10077 |  1.86  1.87 |   8
td_naive |      47      48 |      57      57 |  1.87  1.88 |   8
td_scl_opt |     103     107 |     106     106 |  1.86  1.87 |   8
td_nv_simd |      47      48 |    1738    1736 |  1.87  1.88 |   8
td_simdopt |    1421    2782 |    3182    3191 |  1.87  1.87 |   8
huf0     |    1312     -   |    1896     -   |  1.88   -   |   8
huf0_4x2 |    1312    2078 |    1873    1940 |  1.88  1.88 |   8
fse_stk  |     620     751 |     526     531 |  1.89  1.89 |   8
fse_x8y1 |     715     987 |    1334    1376 |  1.89  1.89 |   8
oo_huff  |    1443     -   |    2123     -   |  1.88   -   |   8
oo_tans  |     492     -   |    1435     -   |  1.89   -   |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1050    2115 |    5731    6097 |  1.41  1.40 |   8
pha      |    1031    2077 |    5749    6144 |  1.41  1.40 |   8
td_naive |      36      37 |      43      44 |  1.40  1.40 |   8
td_scl_opt |      79      84 |      78      78 |  1.41  1.40 |   8
td_nv_simd |      36      37 |     992     989 |  1.40  1.40 |   8
td_simdopt |     885    2018 |    2507    2494 |  1.41  1.41 |   8
huf0     |    1290     -   |    1625     -   |  1.44   -   |   8
huf0_4x2 |    1288    2068 |    1505    1565 |  1.44  1.44 |   8
fse_stk  |     617     749 |     524     531 |  1.45  1.46 |   8
fse_x8y1 |     737     965 |    1329    1376 |  1.45  1.46 |   8
oo_huff  |    1248     -   |    2107     -   |  1.44   -   |   8
oo_tans  |     483     -   |    1409     -   |  1.45   -   |   8

== prose_pride      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1227    2439 |    5677    7045 |  1.72  1.72 |   8
pha      |    1138    2153 |    5703    7096 |  1.72  1.72 |   8
td_naive |      43      44 |      53      52 |  1.73  1.72 |   8
td_scl_opt |      76      78 |      76      74 |  1.72  1.72 |   8
td_nv_simd |      44      44 |    1349    1361 |  1.73  1.72 |   8
td_simdopt |    1099    2355 |    2593    2605 |  1.73  1.72 |   8
huf0     |    1306     -   |    1791     -   |  1.74   -   |   8
huf0_4x2 |    1301    2079 |    1748    1814 |  1.74  1.74 |   8
fse_stk  |     617     752 |     525     531 |  1.76  1.76 |   8
fse_x8y1 |     704     966 |    1308    1376 |  1.76  1.76 |   8
oo_huff  |    1364     -   |    2120     -   |  1.75   -   |   8
oo_tans  |     490     -   |    1438     -   |  1.76   -   |   8

== image_jpeg       ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1154    2482 |    6662    6765 |  1.00  1.00 |   8
pha      |    1150    2476 |    6655    6721 |  1.00  1.00 |   8
td_naive |      25      26 |      30      30 |  1.00  1.00 |   8
td_scl_opt |     106     107 |     112     103 |  1.00  1.00 |   8
td_nv_simd |      25      26 |     698     699 |  1.00  1.00 |   8
td_simdopt |     872    2296 |    2369    2300 |  1.01  1.01 |   8
huf0     |    1237     -   |    1137     -   |  1.01   -   |   8
huf0_4x2 |    1239    2056 |     990    1009 |  1.01  1.01 |   8
fse_stk  |     616     747 |     524     531 |  1.01  1.01 |   8
fse_x8y1 |     735     965 |    1295    1373 |  1.01  1.01 |   8
oo_huff  |    1380     -   |    2096     -   |  1.01   -   |   8
oo_tans  |     481     -   |    1391     -   |  1.01   -   |   8

== json_api         ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1176    2121 |    4942    5443 |  1.51  1.51 |   8
pha      |    1132    2012 |    4907    5434 |  1.51  1.51 |   8
td_naive |      38      39 |      46      46 |  1.51  1.51 |   8
td_scl_opt |      74      77 |      73      74 |  1.51  1.51 |   8
td_nv_simd |      38      39 |    1226    1231 |  1.51  1.51 |   8
td_simdopt |    1033    2051 |    2500    2541 |  1.51  1.51 |   8
huf0     |    1305     -   |    1707     -   |  1.53   -   |   8
huf0_4x2 |    1306    2086 |    1600    1661 |  1.53  1.53 |   8
fse_stk  |     618     751 |     525     531 |  1.53  1.54 |   8
fse_x8y1 |     733     988 |    1336    1377 |  1.54  1.54 |   8
oo_huff  |    1365     -   |    2121     -   |  1.53   -   |   8
oo_tans  |     490     -   |    1439     -   |  1.53   -   |   8

== dna_fasta        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1737    5406 |   15146   16256 |  3.49  3.49 |   8
pha      |    1583    3939 |    6707    6939 |  3.76  3.77 |   8
td_naive |      91      95 |     113     114 |  3.51  3.52 |   8
td_scl_opt |     123     130 |     145     145 |  3.49  3.49 |   8
td_nv_simd |      91      95 |    2323    2310 |  3.51  3.52 |   8
td_simdopt |    1693    5171 |    3044    3039 |  3.50  3.51 |   8
huf0     |    1315     -   |    1936     -   |  3.53   -   |   8
huf0_4x2 |    1314    2091 |    1955    2016 |  3.53  3.53 |   8
fse_stk  |     618     755 |     525     531 |  3.83  3.83 |   8
fse_x8y1 |     643     991 |    1303    1383 |  3.83  3.83 |   8
oo_huff  |    1449     -   |    2132     -   |  3.53   -   |   8
oo_tans  |     496     -   |    1454     -   |  3.83   -   |   8

== chinese_text     ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1156    2179 |    5586    5953 |  1.34  1.33 |   8
pha      |    1062    1756 |    5091    4405 |  1.34  1.34 |   8
td_naive |      34      35 |      41      41 |  1.34  1.33 |   8
td_scl_opt |      83      81 |      82      77 |  1.34  1.33 |   8
td_nv_simd |      34      35 |    1130    1122 |  1.34  1.33 |   8
td_simdopt |     998    2166 |    2493    2400 |  1.34  1.33 |   8
huf0     |    1297     -   |    1500     -   |  1.36   -   |   8
huf0_4x2 |    1292    2083 |    1324    1355 |  1.36  1.36 |   8
fse_stk  |     616     751 |     524     531 |  1.37  1.37 |   8
fse_x8y1 |     738     965 |    1309    1374 |  1.37  1.37 |   8
oo_huff  |    1332     -   |    2112     -   |  1.36   -   |   8
oo_tans  |     485     -   |    1430     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1159    4568 |    9681   13361 |  4.60  4.57 |   8
pha      |     991    2681 |    4865    5648 |  6.13  6.07 |   8
td_naive |     172     199 |     213     213 |  4.63  4.59 |   8
td_scl_opt |     254     326 |     418     440 |  4.60  4.58 |   8
td_nv_simd |     172     199 |    1637    1618 |  4.63  4.59 |   8
td_simdopt |    1013    5040 |    7829    8046 |  4.65  4.62 |   8
huf0     |    1085     -   |    1879     -   |  4.79   -   |   8
huf0_4x2 |    1085    2060 |    1903    1982 |  4.79  4.78 |   8
fse_stk  |     560     755 |     536     547 |  6.42  6.50 |   8
fse_x8y1 |     339     755 |     528     547 |  6.49  6.50 |   8
oo_huff  |    1180     -   |    2105     -   |  4.79   -   |   8
oo_tans  |     466     -   |    1441     -   |  6.44   -   |   8

