[100%] Built target pivco_fair_bench
fair-bench: 1 MB-class buffer = 1024 KB, best of 10x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     637    9001 |   35629   41968 |  6.29  6.32 |   8
pha      |     567    3209 |    5305    5423 |  8.45  8.51 |   8
td_naive |     227     339 |     354     356 |  6.35  6.39 |   8
td_scl_opt |     259     415 |     839     838 |  6.29  6.32 |   8
td_nv_simd |     227     340 |    2692    2693 |  6.35  6.39 |   8
td_simdopt |     631    8078 |    8223    8213 |  6.31  6.35 |   8
huf0     |    1149     -   |    1941     -   |  6.40   -   |   8
huf0_4x2 |    1148    2062 |    1974    2001 |  6.40  6.40 |   8
fse_stk  |     575     756 |     539     548 |  8.86  8.86 |   8
fse_x8y1 |     353     755 |     530     547 |  8.86  8.86 |   8
oo_huff  |    1293     -   |    2132     -   |  6.40   -   |   8
oo_tans  |     473     -   |    1467     -   |  8.84   -   |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1500    3184 |    9388    9976 |  1.86  1.87 |   8
pha      |    1492    3167 |    9381   10010 |  1.86  1.87 |   8
td_naive |      47      48 |      57      57 |  1.87  1.88 |   8
td_scl_opt |     103     107 |     106     106 |  1.86  1.87 |   8
td_nv_simd |      47      48 |    1699    1697 |  1.87  1.88 |   8
td_simdopt |    1384    2907 |    3213    3223 |  1.87  1.87 |   8
huf0     |    1310     -   |    1890     -   |  1.88   -   |   8
huf0_4x2 |    1314    2077 |    1877    1939 |  1.88  1.88 |   8
fse_stk  |     620     755 |     526     531 |  1.89  1.89 |   8
fse_x8y1 |     714     967 |    1335    1379 |  1.89  1.89 |   8
oo_huff  |    1444     -   |    2131     -   |  1.88   -   |   8
oo_tans  |     493     -   |    1451     -   |  1.89   -   |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1066    2201 |    5787    6128 |  1.41  1.40 |   8
pha      |    1045    2121 |    5735    6120 |  1.41  1.40 |   8
td_naive |      36      37 |      44      44 |  1.40  1.40 |   8
td_scl_opt |      79      84 |      78      78 |  1.41  1.40 |   8
td_nv_simd |      36      37 |     992     991 |  1.40  1.40 |   8
td_simdopt |     885    2064 |    2309    2268 |  1.41  1.41 |   8
huf0     |    1290     -   |    1625     -   |  1.44   -   |   8
huf0_4x2 |    1294    2068 |    1506    1565 |  1.44  1.44 |   8
fse_stk  |     617     752 |     525     531 |  1.45  1.46 |   8
fse_x8y1 |     735     965 |    1333    1375 |  1.45  1.46 |   8
oo_huff  |    1252     -   |    2107     -   |  1.44   -   |   8
oo_tans  |     485     -   |    1459     -   |  1.45   -   |   8

== prose_pride      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1179    2576 |    5686    7047 |  1.72  1.72 |   8
pha      |    1095    2260 |    5699    7119 |  1.72  1.72 |   8
td_naive |      43      44 |      53      53 |  1.73  1.72 |   8
td_scl_opt |      76      78 |      76      74 |  1.72  1.72 |   8
td_nv_simd |      43      44 |    1346    1361 |  1.73  1.72 |   8
td_simdopt |    1054    2452 |    2512    2517 |  1.73  1.72 |   8
huf0     |    1305     -   |    1786     -   |  1.74   -   |   8
huf0_4x2 |    1304    2075 |    1752    1814 |  1.74  1.74 |   8
fse_stk  |     618     755 |     525     531 |  1.76  1.76 |   8
fse_x8y1 |     702     966 |    1329    1377 |  1.76  1.76 |   8
oo_huff  |    1371     -   |    2120     -   |  1.75   -   |   8
oo_tans  |     491     -   |    1445     -   |  1.76   -   |   8

== image_jpeg       ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1128    2513 |    6668    6707 |  1.00  1.00 |   8
pha      |    1126    2513 |    6698    6681 |  1.00  1.00 |   8
td_naive |      25      26 |      30      30 |  1.00  1.00 |   8
td_scl_opt |     106     107 |     112     103 |  1.00  1.00 |   8
td_nv_simd |      25      26 |     695     693 |  1.00  1.00 |   8
td_simdopt |     861    2341 |    2115    2166 |  1.01  1.01 |   8
huf0     |    1238     -   |    1137     -   |  1.01   -   |   8
huf0_4x2 |    1240    2051 |     991    1009 |  1.01  1.01 |   8
fse_stk  |     616     748 |     523     530 |  1.01  1.01 |   8
fse_x8y1 |     730     964 |    1323    1370 |  1.01  1.01 |   8
oo_huff  |    1381     -   |    2097     -   |  1.01   -   |   8
oo_tans  |     481     -   |    1430     -   |  1.01   -   |   8

== json_api         ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1146    2219 |    4942    5424 |  1.51  1.51 |   8
pha      |    1101    2071 |    4899    5437 |  1.51  1.51 |   8
td_naive |      38      39 |      46      46 |  1.51  1.51 |   8
td_scl_opt |      74      78 |      73      74 |  1.51  1.51 |   8
td_nv_simd |      38      39 |    1216    1218 |  1.51  1.51 |   8
td_simdopt |    1011    2087 |    2304    2337 |  1.51  1.51 |   8
huf0     |    1307     -   |    1703     -   |  1.53   -   |   8
huf0_4x2 |    1309    2066 |    1604    1664 |  1.53  1.53 |   8
fse_stk  |     619     748 |     526     531 |  1.53  1.54 |   8
fse_x8y1 |     721     966 |    1317    1376 |  1.54  1.54 |   8
oo_huff  |    1363     -   |    2121     -   |  1.53   -   |   8
oo_tans  |     490     -   |    1455     -   |  1.53   -   |   8

== dna_fasta        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1407    5555 |   15058   16373 |  3.49  3.49 |   8
pha      |    1312    4118 |    6701    6965 |  3.76  3.77 |   8
td_naive |      90      95 |     114     114 |  3.51  3.52 |   8
td_scl_opt |     121     130 |     145     145 |  3.49  3.49 |   8
td_nv_simd |      90      95 |    2313    2302 |  3.51  3.52 |   8
td_simdopt |    1391    5329 |    3000    2989 |  3.50  3.51 |   8
huf0     |    1312     -   |    1933     -   |  3.53   -   |   8
huf0_4x2 |    1313    2081 |    1961    2017 |  3.53  3.53 |   8
fse_stk  |     618     754 |     526     531 |  3.83  3.83 |   8
fse_x8y1 |     635     968 |    1305    1379 |  3.83  3.83 |   8
oo_huff  |    1448     -   |    2132     -   |  3.53   -   |   8
oo_tans  |     496     -   |    1462     -   |  3.83   -   |   8

== chinese_text     ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1170    2291 |    5566    5889 |  1.34  1.33 |   8
pha      |    1068    1790 |    5090    4379 |  1.34  1.34 |   8
