[100%] Built target pivco_bench_golomb
fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     638    8841 |   35618   40476 |  6.29  6.32 |   8
pha      |     567    3182 |    5305    5379 |  8.45  8.51 |   8
td_naive |     227     340 |     348     355 |  6.35  6.39 |   8
td_scl_opt |     258     412 |     824     824 |  6.29  6.32 |   8
td_nv_simd |     227     336 |    2748    2746 |  6.35  6.39 |   8
td_simdopt |     632    7971 |    8728    8740 |  6.31  6.35 |   8
huf0     |    1149     -   |    1946     -   |  6.40   -   |   8
huf0_4x2 |    1149    2061 |    1964    1998 |  6.40  6.40 |   8
fse_stk  |     574     755 |     538     548 |  8.86  8.86 |   8
fse_x8y1 |     353     755 |     530     548 |  8.86  8.86 |   8
oo_huff  |    1293     -   |    2131     -   |  6.40   -   |   8
oo_tans  |     473     -   |    1474     -   |  8.84   -   |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1427    2915 |    9213    9790 |  1.86  1.87 |   8
pha      |    1421    2898 |    9228    9775 |  1.86  1.87 |   8
td_naive |      47      48 |      57      57 |  1.87  1.88 |   8
td_scl_opt |     103     107 |     106     106 |  1.86  1.87 |   8
td_nv_simd |      47      48 |    1743    1741 |  1.87  1.88 |   8
td_simdopt |    1366    2870 |    3193    3204 |  1.87  1.87 |   8
huf0     |    1314     -   |    1893     -   |  1.88   -   |   8
huf0_4x2 |    1316    2091 |    1869    1938 |  1.88  1.88 |   8
fse_stk  |     620     753 |     526     530 |  1.89  1.89 |   8
fse_x8y1 |     721     988 |    1331    1395 |  1.89  1.89 |   8
oo_huff  |    1441     -   |    2123     -   |  1.88   -   |   8
oo_tans  |     492     -   |    1431     -   |  1.89   -   |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1021    2068 |    5516    5910 |  1.41  1.40 |   8
pha      |    1006    2005 |    5565    5962 |  1.41  1.40 |   8
td_naive |      36      37 |      44      44 |  1.40  1.40 |   8
td_scl_opt |      79      84 |      78      78 |  1.41  1.40 |   8
td_nv_simd |      36      37 |    1003     997 |  1.40  1.40 |   8
td_simdopt |     882    2042 |    2527    2516 |  1.41  1.41 |   8
huf0     |    1289     -   |    1628     -   |  1.44   -   |   8
huf0_4x2 |    1291    2081 |    1503    1563 |  1.44  1.44 |   8
fse_stk  |     616     749 |     524     530 |  1.45  1.46 |   8
fse_x8y1 |     741     983 |    1325    1394 |  1.45  1.46 |   8
oo_huff  |    1242     -   |    2100     -   |  1.44   -   |   8
oo_tans  |     483     -   |    1403     -   |  1.45   -   |   8

== prose_pride      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1151    2481 |    5609    6884 |  1.72  1.72 |   8
pha      |    1071    2181 |    5542    6925 |  1.72  1.72 |   8
td_naive |      43      44 |      53      53 |  1.73  1.72 |   8
td_scl_opt |      76      78 |      76      74 |  1.72  1.72 |   8
td_nv_simd |      43      44 |    1363    1377 |  1.73  1.72 |   8
td_simdopt |    1045    2413 |    2625    2625 |  1.73  1.72 |   8
huf0     |    1304     -   |    1792     -   |  1.74   -   |   8
huf0_4x2 |    1303    2082 |    1750    1814 |  1.74  1.74 |   8
fse_stk  |     617     751 |     525     530 |  1.76  1.76 |   8
fse_x8y1 |     711     988 |    1327    1395 |  1.76  1.76 |   8
oo_huff  |    1370     -   |    2114     -   |  1.75   -   |   8
oo_tans  |     489     -   |    1419     -   |  1.76   -   |   8

== image_jpeg       ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1036    2327 |    6526    6593 |  1.00  1.00 |   8
pha      |    1033    2318 |    6523    6564 |  1.00  1.00 |   8
td_naive |      25      26 |      30      30 |  1.00  1.00 |   8
td_scl_opt |     106     107 |     112     103 |  1.00  1.00 |   8
td_nv_simd |      25      26 |     691     689 |  1.00  1.00 |   8
td_simdopt |     852    2300 |    2302    2191 |  1.01  1.01 |   8
huf0     |    1238     -   |    1137     -   |  1.01   -   |   8
huf0_4x2 |    1238    2060 |     990    1009 |  1.01  1.01 |   8
fse_stk  |     615     746 |     523     530 |  1.01  1.01 |   8
fse_x8y1 |     732     964 |    1315    1391 |  1.01  1.01 |   8
oo_huff  |    1383     -   |    2087     -   |  1.01   -   |   8
oo_tans  |     481     -   |    1408     -   |  1.01   -   |   8

== json_api         ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1115    2143 |    4783    5239 |  1.51  1.51 |   8
pha      |    1076    1993 |    4741    5271 |  1.51  1.51 |   8
td_naive |      38      39 |      46      46 |  1.51  1.51 |   8
td_scl_opt |      74      77 |      73      74 |  1.51  1.51 |   8
td_nv_simd |      38      39 |    1221    1219 |  1.51  1.51 |   8
td_simdopt |    1006    2068 |    2485    2500 |  1.51  1.51 |   8
huf0     |    1305     -   |    1700     -   |  1.53   -   |   8
huf0_4x2 |    1310    2071 |    1599    1662 |  1.53  1.53 |   8
fse_stk  |     618     749 |     525     531 |  1.53  1.54 |   8
fse_x8y1 |     720     965 |    1330    1396 |  1.54  1.54 |   8
oo_huff  |    1364     -   |    2116     -   |  1.53   -   |   8
oo_tans  |     491     -   |    1450     -   |  1.53   -   |   8

== dna_fasta        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1400    5415 |   14713   16458 |  3.49  3.49 |   8
pha      |    1305    3947 |    6637    6871 |  3.76  3.77 |   8
td_naive |      90      95 |     114     114 |  3.51  3.52 |   8
td_scl_opt |     121     130 |     145     145 |  3.49  3.49 |   8
td_nv_simd |      90      95 |    2369    2359 |  3.51  3.52 |   8
td_simdopt |    1389    5285 |    3065    3063 |  3.50  3.51 |   8
huf0     |    1316     -   |    1935     -   |  3.53   -   |   8
huf0_4x2 |    1317    2086 |    1956    2012 |  3.53  3.53 |   8
fse_stk  |     618     751 |     526     531 |  3.83  3.83 |   8
fse_x8y1 |     639     986 |    1321    1396 |  3.83  3.83 |   8
oo_huff  |    1449     -   |    2129     -   |  3.53   -   |   8
oo_tans  |     491     -   |    1446     -   |  3.83   -   |   8

== chinese_text     ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1124    2136 |    5348    5657 |  1.34  1.33 |   8
pha      |    1039    1706 |    4937    4342 |  1.34  1.34 |   8
td_naive |      34      35 |      41      41 |  1.34  1.33 |   8
td_scl_opt |      82      81 |      82      77 |  1.34  1.33 |   8
td_nv_simd |      34      35 |    1131    1123 |  1.34  1.33 |   8
td_simdopt |    1004    2214 |    2513    2437 |  1.34  1.33 |   8
huf0     |    1295     -   |    1502     -   |  1.36   -   |   8
huf0_4x2 |    1294    2067 |    1326    1355 |  1.36  1.36 |   8
fse_stk  |     616     747 |     524     530 |  1.37  1.37 |   8
fse_x8y1 |     743     983 |    1322    1393 |  1.37  1.37 |   8
oo_huff  |    1324     -   |    2103     -   |  1.36   -   |   8
oo_tans  |     484     -   |    1405     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     521    4764 |    8782   11679 |  4.60  4.57 |   8
pha      |     484    2734 |    4639    5450 |  6.13  6.07 |   8
td_naive |     145     198 |     213     214 |  4.63  4.59 |   8
td_scl_opt |     200     326 |     418     440 |  4.60  4.58 |   8
td_nv_simd |     145     198 |    1656    1634 |  4.63  4.59 |   8
td_simdopt |     488    4978 |    7909    8201 |  4.65  4.62 |   8
huf0     |    1085     -   |    1878     -   |  4.79   -   |   8
huf0_4x2 |    1084    2058 |    1902    1977 |  4.79  4.78 |   8
fse_stk  |     560     755 |     536     547 |  6.42  6.50 |   8
fse_x8y1 |     339     755 |     528     547 |  6.49  6.50 |   8
oo_huff  |    1180     -   |    2102     -   |  4.79   -   |   8
oo_tans  |     464     -   |    1440     -   |  6.44   -   |   8

