fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     537    2409 |   16333   18300 |  6.29  6.32 |   8
pha      |     506    2086 |    6194    6386 |  8.45  8.51 |   8
td_naive |     281     485 |    1221    1243 |  6.35  6.39 |   8
td_scl_opt |     315     601 |    1679    1593 |  6.29  6.32 |   8
td_nv_simd |     282     491 |    3666    3701 |  6.35  6.39 |   8
td_simdopt |     540    2843 |    6554    6800 |  6.29  6.32 |   8
huf0     |    1295     -   |    2857     -   |  6.40   -   |   8
huf0_4x2 |    1305    2754 |    3004    2940 |  6.40  6.40 |   8
fse_stk  |     656     886 |     669     683 |  8.86  8.86 |   8
fse_x8y1 |     378     910 |     654     682 |  8.86  8.86 |   8
oo_huff  |    1781     -   |    3227     -   |  6.40   -   |   8
oo_tans  |     709     -   |    2735     -   |  8.84   -   |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1079    1898 |    6977    6624 |  1.86  1.87 |   8
pha      |    1072    1899 |    6386    6662 |  1.86  1.87 |   8
td_naive |      65      67 |     481     483 |  1.87  1.88 |   8
td_scl_opt |     145     155 |     756     759 |  1.86  1.87 |   8
td_nv_simd |      65      67 |    2018    2029 |  1.87  1.88 |   8
td_simdopt |    1063    1974 |    2858    2866 |  1.86  1.87 |   8
huf0     |    1764     -   |    2653     -   |  1.88   -   |   8
huf0_4x2 |    1806    2802 |    2700    2774 |  1.88  1.88 |   8
fse_stk  |     752     869 |     834     856 |  1.89  1.89 |   8
fse_x8y1 |    1066    2039 |    1947    2100 |  1.89  1.89 |   8
oo_huff  |    2447     -   |    3316     -   |  1.88   -   |   8
oo_tans  |     819     -   |    2455     -   |  1.89   -   |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1027    1710 |    4583    4768 |  1.41  1.40 |   8
pha      |    1016    1669 |    4607    4713 |  1.41  1.40 |   8
td_naive |      49      51 |     364     362 |  1.40  1.40 |   8
td_scl_opt |     112     119 |     585     601 |  1.41  1.40 |   8
td_nv_simd |      50      51 |    1374    1502 |  1.40  1.40 |   8
td_simdopt |     936    1622 |    2386    2358 |  1.41  1.40 |   8
huf0     |    1797     -   |    2355     -   |  1.44   -   |   8
huf0_4x2 |    1770    2772 |    2106    2293 |  1.44  1.44 |   8
fse_stk  |     742     868 |     843     858 |  1.45  1.46 |   8
fse_x8y1 |    1192    1918 |    1943    2247 |  1.45  1.46 |   8
oo_huff  |    2265     -   |    3381     -   |  1.44   -   |   8
oo_tans  |     797     -   |    2512     -   |  1.45   -   |   8

== prose_pride      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     947    1562 |    4825    5036 |  1.72  1.72 |   8
pha      |     913    1556 |    4797    5044 |  1.72  1.72 |   8
td_naive |      59      61 |     437     439 |  1.73  1.72 |   8
td_scl_opt |     107     111 |     592     580 |  1.72  1.72 |   8
td_nv_simd |      59      61 |    1763    1818 |  1.73  1.72 |   8
td_simdopt |     937    1622 |    2432    2424 |  1.72  1.72 |   8
huf0     |    1699     -   |    2588     -   |  1.74   -   |   8
huf0_4x2 |    1711    2785 |    2449    2533 |  1.74  1.74 |   8
fse_stk  |     754     887 |     840     852 |  1.76  1.76 |   8
fse_x8y1 |    1072    1917 |    1913    2075 |  1.76  1.76 |   8
oo_huff  |    2401     -   |    3187     -   |  1.75   -   |   8
oo_tans  |     798     -   |    2469     -   |  1.76   -   |   8

== image_jpeg       ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1124    1818 |    5232    5315 |  1.00  1.00 |   8
pha      |    1158    1778 |    5533    5364 |  1.00  1.00 |   8
td_naive |      34      35 |     256     255 |  1.00  1.00 |   8
td_scl_opt |     155     157 |     755     702 |  1.00  1.00 |   8
td_nv_simd |      34      35 |     947     975 |  1.00  1.00 |   8
td_simdopt |     981    1625 |    2407    2349 |  1.00  1.00 |   8
