fair-bench: 1 MB-class buffer = 1024 KB, best of 10x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1329    2902 |   15792   16724 |  6.29  6.32 |   8
pha      |    1142    2128 |    5934    6103 |  8.45  8.51 |   8
td_naive |     390     473 |    1222    1220 |  6.35  6.39 |   8
td_scl_opt |     476     581 |    1534    1538 |  6.29  6.32 |   8
td_nv_simd |     387     468 |    3584    3840 |  6.35  6.39 |   8
td_simdopt |    1281    2703 |    6294    6245 |  6.29  6.32 |   8
huf0     |    1307     -   |    2737     -   |  6.40   -   |   8
huf0_4x2 |    1325    2733 |    2759    2981 |  6.40  6.40 |   8
fse_stk  |     640     875 |     664     684 |  8.86  8.86 |   8
fse_x8y1 |     377     860 |     644     676 |  8.86  8.86 |   8
oo_huff  |    1734     -   |    3171     -   |  6.40   -   |   8
oo_tans  |     702     -   |    2512     -   |  8.84   -   |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1325    1906 |    6800    6570 |  1.86  1.87 |   8
pha      |    1324    1899 |    6787    6871 |  1.86  1.87 |   8
td_naive |      64      65 |     475     474 |  1.87  1.88 |   8
td_scl_opt |     148     153 |     752     752 |  1.86  1.87 |   8
td_nv_simd |      64      65 |    2001    1989 |  1.87  1.88 |   8
td_simdopt |    1271    1936 |    2815    2884 |  1.86  1.87 |   8
huf0     |    1746     -   |    2573     -   |  1.88   -   |   8
huf0_4x2 |    1714    2777 |    2592    2839 |  1.88  1.88 |   8
fse_stk  |     735     861 |     848     838 |  1.89  1.89 |   8
fse_x8y1 |    1060    1952 |    1895    2106 |  1.89  1.89 |   8
oo_huff  |    2451     -   |    3305     -   |  1.88   -   |   8
oo_tans  |     819     -   |    2481     -   |  1.89   -   |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1134    1605 |    4575    4939 |  1.41  1.40 |   8
pha      |    1119    1581 |    4821    4775 |  1.41  1.40 |   8
td_naive |      48      50 |     359     358 |  1.40  1.40 |   8
td_scl_opt |     114     120 |     590     593 |  1.41  1.40 |   8
td_nv_simd |      49      50 |    1411    1482 |  1.40  1.40 |   8
td_simdopt |    1046    1635 |    2385    2329 |  1.41  1.40 |   8
huf0     |    1768     -   |    2407     -   |  1.44   -   |   8
huf0_4x2 |    1765    2848 |    2103    2249 |  1.44  1.44 |   8
fse_stk  |     737     855 |     845     855 |  1.45  1.46 |   8
fse_x8y1 |    1210    1940 |    1941    2174 |  1.45  1.46 |   8
oo_huff  |    2270     -   |    3153     -   |  1.44   -   |   8
oo_tans  |     809     -   |    2436     -   |  1.45   -   |   8

== prose_pride      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1155    1638 |    4841    5148 |  1.72  1.72 |   8
pha      |    1105    1524 |    5075    5056 |  1.72  1.72 |   8
td_naive |      59      60 |     440     437 |  1.73  1.72 |   8
td_scl_opt |     108     110 |     592     584 |  1.72  1.72 |   8
td_nv_simd |      59      60 |    1785    1761 |  1.73  1.72 |   8
td_simdopt |    1101    1626 |    2438    2413 |  1.72  1.72 |   8
huf0     |    1760     -   |    2501     -   |  1.74   -   |   8
huf0_4x2 |    1764    2792 |    2438    2693 |  1.74  1.74 |   8
fse_stk  |     736     853 |     836     851 |  1.76  1.76 |   8
fse_x8y1 |    1069    1943 |    1927    2083 |  1.76  1.76 |   8
oo_huff  |    2389     -   |    3162     -   |  1.75   -   |   8
oo_tans  |     805     -   |    2456     -   |  1.76   -   |   8

== image_jpeg       ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1256    1844 |    5364    5557 |  1.00  1.00 |   8
pha      |    1271    1806 |    5353    5353 |  1.00  1.00 |   8
td_naive |      34      34 |     259     259 |  1.00  1.00 |   8
td_scl_opt |     160     159 |     764     716 |  1.00  1.00 |   8
td_nv_simd |      34      34 |     982     985 |  1.00  1.00 |   8
td_simdopt |    1143    1897 |    2444    2343 |  1.00  1.00 |   8
huf0     |    1756     -   |    1415     -   |  1.01   -   |   8
huf0_4x2 |    1781    2788 |    1365    1482 |  1.01  1.01 |   8
fse_stk  |     749     897 |     824     849 |  1.01  1.01 |   8
fse_x8y1 |    1248    1938 |    1966    2197 |  1.01  1.01 |   8
oo_huff  |    2662     -   |    3140     -   |  1.01   -   |   8
oo_tans  |     811     -   |    2387     -   |  1.01   -   |   8

== json_api         ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1117    1545 |    4338    4477 |  1.51  1.51 |   8
pha      |    1087    1502 |    4319    4613 |  1.51  1.51 |   8
td_naive |      52      53 |     383     380 |  1.51  1.51 |   8
td_scl_opt |     106     110 |     569     574 |  1.51  1.51 |   8
td_nv_simd |      52      53 |    1657    1656 |  1.51  1.51 |   8
td_simdopt |    1082    1569 |    2397    2350 |  1.51  1.51 |   8
huf0     |    1763     -   |    2525     -   |  1.53   -   |   8
huf0_4x2 |    1762    2852 |    2230    2302 |  1.53  1.53 |   8
fse_stk  |     741     901 |     845     843 |  1.53  1.54 |   8
fse_x8y1 |    1147    1925 |    2020    2088 |  1.54  1.54 |   8
oo_huff  |    2368     -   |    3168     -   |  1.53   -   |   8
oo_tans  |     811     -   |    2523     -   |  1.53   -   |   8

== dna_fasta        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1306    2174 |    8588    8939 |  3.49  3.49 |   8
pha      |    1234    2001 |    5819    6030 |  3.76  3.77 |   8
td_naive |     130     135 |     806     815 |  3.51  3.52 |   8
td_scl_opt |     175     186 |     864     867 |  3.49  3.49 |   8
td_nv_simd |     130     136 |    2988    2848 |  3.51  3.52 |   8
td_simdopt |    1271    2158 |    3218    3216 |  3.49  3.49 |   8
huf0     |    1522     -   |    2849     -   |  3.53   -   |   8
huf0_4x2 |    1529    2867 |    2754    3000 |  3.53  3.53 |   8
fse_stk  |     708     884 |     849     841 |  3.83  3.83 |   8
fse_x8y1 |     763    1916 |    1919    2124 |  3.83  3.83 |   8
oo_huff  |    2074     -   |    3160     -   |  3.53   -   |   8
oo_tans  |     777     -   |    2494     -   |  3.83   -   |   8

== chinese_text     ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1165    1630 |    4932    4934 |  1.34  1.33 |   8
pha      |    1090    1384 |    4681    4001 |  1.34  1.34 |   8
td_naive |      46      47 |     350     349 |  1.34  1.33 |   8
td_scl_opt |     119     116 |     609     590 |  1.34  1.33 |   8
td_nv_simd |      46      47 |    1408    1484 |  1.34  1.33 |   8
td_simdopt |    1113    1642 |    2454    2408 |  1.34  1.33 |   8
huf0     |    1783     -   |    2104     -   |  1.36   -   |   8
huf0_4x2 |    1789    2791 |    1865    1880 |  1.36  1.36 |   8
fse_stk  |     759     871 |     840     859 |  1.37  1.37 |   8
fse_x8y1 |    1218    1920 |    2024    2093 |  1.37  1.37 |   8
oo_huff  |    2387     -   |    3156     -   |  1.36   -   |   8
oo_tans  |     808     -   |    2558     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1199    2557 |   10581   11664 |  4.60  4.57 |   8
pha      |    1062    2085 |    6363    6649 |  6.13  6.07 |   8
td_naive |     232     271 |     946     917 |  4.63  4.59 |   8
td_scl_opt |     364     471 |    1467    1462 |  4.60  4.58 |   8
td_nv_simd |     233     275 |    2920    2885 |  4.63  4.59 |   8
td_simdopt |    1066    2470 |    5730    6002 |  4.60  4.58 |   8
huf0     |    1241     -   |    2544     -   |  4.79   -   |   8
huf0_4x2 |    1268    2787 |    2701    2649 |  4.79  4.78 |   8
fse_stk  |     625     855 |     654     669 |  6.42  6.50 |   8
