fair-bench: 1 MB-class buffer = 1024 KB, best of 10x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     550    2940 |   15744   16804 |  6.29  6.32 |   8
pha      |     517    2128 |    5931    6093 |  8.45  8.51 |   8
td_naive |     277     469 |    1240    1203 |  6.35  6.39 |   8
td_scl_opt |     315     579 |    1545    1588 |  6.29  6.32 |   8
td_nv_simd |     279     477 |    3564    3571 |  6.35  6.39 |   8
td_simdopt |     543    2709 |    6332    6437 |  6.29  6.32 |   8
huf0     |    1302     -   |    2748     -   |  6.40   -   |   8
huf0_4x2 |    1317    2743 |    2962    2791 |  6.40  6.40 |   8
fse_stk  |     635     879 |     664     683 |  8.86  8.86 |   8
fse_x8y1 |     378     883 |     648     682 |  8.86  8.86 |   8
oo_huff  |    1666     -   |    3157     -   |  6.40   -   |   8
oo_tans  |     707     -   |    2492     -   |  8.84   -   |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1067    1956 |    6374    7047 |  1.86  1.87 |   8
pha      |    1094    1900 |    6355    6574 |  1.86  1.87 |   8
td_naive |      63      65 |     474     473 |  1.87  1.88 |   8
td_scl_opt |     143     153 |     708     710 |  1.86  1.87 |   8
td_nv_simd |      63      65 |    2030    2042 |  1.87  1.88 |   8
td_simdopt |    1058    1958 |    2841    2887 |  1.86  1.87 |   8
huf0     |    1746     -   |    2648     -   |  1.88   -   |   8
huf0_4x2 |    1747    2884 |    2581    2660 |  1.88  1.88 |   8
fse_stk  |     726     877 |     828     839 |  1.89  1.89 |   8
fse_x8y1 |    1069    1920 |    1982    2105 |  1.89  1.89 |   8
oo_huff  |    2447     -   |    3180     -   |  1.88   -   |   8
oo_tans  |     808     -   |    2574     -   |  1.89   -   |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1024    1623 |    4583    4814 |  1.41  1.40 |   8
pha      |     997    1593 |    4675    4704 |  1.41  1.40 |   8
td_naive |      48      50 |     359     360 |  1.40  1.40 |   8
td_scl_opt |     110     118 |     558     560 |  1.41  1.40 |   8
td_nv_simd |      48      50 |    1381    1504 |  1.40  1.40 |   8
td_simdopt |     959    1661 |    2349    2331 |  1.41  1.40 |   8
huf0     |    1772     -   |    2401     -   |  1.44   -   |   8
huf0_4x2 |    1769    2787 |    2195    2149 |  1.44  1.44 |   8
fse_stk  |     746     888 |     824     866 |  1.45  1.46 |   8
fse_x8y1 |    1196    1919 |    2008    2095 |  1.45  1.46 |   8
oo_huff  |    2298     -   |    3150     -   |  1.44   -   |   8
oo_tans  |     805     -   |    2452     -   |  1.45   -   |   8

== prose_pride      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     967    1653 |    4823    5022 |  1.72  1.72 |   8
pha      |     925    1541 |    4843    5061 |  1.72  1.72 |   8
td_naive |      58      60 |     437     438 |  1.73  1.72 |   8
td_scl_opt |     105     109 |     575     568 |  1.72  1.72 |   8
td_nv_simd |      58      60 |    1832    1818 |  1.73  1.72 |   8
td_simdopt |     928    1619 |    2487    2427 |  1.72  1.72 |   8
huf0     |    1712     -   |    2501     -   |  1.74   -   |   8
huf0_4x2 |    1744    2786 |    2619    2540 |  1.74  1.74 |   8
fse_stk  |     735     893 |     847     870 |  1.76  1.76 |   8
fse_x8y1 |    1069    1919 |    2020    2116 |  1.76  1.76 |   8
oo_huff  |    2310     -   |    3169     -   |  1.75   -   |   8
oo_tans  |     803     -   |    2548     -   |  1.76   -   |   8

== image_jpeg       ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
