fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     549    2931 |   15912   17078 |  6.29  6.32 |   8
pha      |     515    2153 |    5934    6154 |  8.45  8.51 |   8
td_naive |     277     470 |    1192    1207 |  6.35  6.39 |   8
td_scl_opt |     313     572 |    1532    1538 |  6.29  6.32 |   8
td_nv_simd |     280     475 |    3559    3582 |  6.35  6.39 |   8
td_simdopt |     532    2756 |    6791    6321 |  6.29  6.32 |   8
huf0     |    1272     -   |    2734     -   |  6.40   -   |   8
huf0_4x2 |    1283    2743 |    2765    2777 |  6.40  6.40 |   8
fse_stk  |     637     859 |     651     675 |  8.86  8.86 |   8
fse_x8y1 |     372     883 |     631     681 |  8.86  8.86 |   8
oo_huff  |    1664     -   |    3153     -   |  6.40   -   |   8
oo_tans  |     706     -   |    2490     -   |  8.84   -   |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1086    1897 |    6370    6645 |  1.86  1.87 |   8
pha      |    1064    1896 |    6582    6578 |  1.86  1.87 |   8
td_naive |      63      65 |     471     474 |  1.87  1.88 |   8
td_scl_opt |     143     152 |     717     709 |  1.86  1.87 |   8
td_nv_simd |      63      65 |    1972    1971 |  1.87  1.88 |   8
td_simdopt |    1043    1946 |    2824    2832 |  1.86  1.87 |   8
huf0     |    1763     -   |    2574     -   |  1.88   -   |   8
huf0_4x2 |    1742    2784 |    2723    2714 |  1.88  1.88 |   8
fse_stk  |     722     882 |     821     831 |  1.89  1.89 |   8
fse_x8y1 |    1075    1923 |    1887    2066 |  1.89  1.89 |   8
oo_huff  |    2447     -   |    3348     -   |  1.88   -   |   8
oo_tans  |     808     -   |    2486     -   |  1.89   -   |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1021    1612 |    4581    4777 |  1.41  1.40 |   8
pha      |    1011    1589 |    4581    4775 |  1.41  1.40 |   8
td_naive |      48      50 |     360     357 |  1.40  1.40 |   8
td_scl_opt |     112     120 |     558     559 |  1.41  1.40 |   8
td_nv_simd |      48      50 |    1498    1419 |  1.40  1.40 |   8
td_simdopt |     953    1627 |    2327    2328 |  1.41  1.40 |   8
huf0     |    1771     -   |    2251     -   |  1.44   -   |   8
huf0_4x2 |    1763    2902 |    2101    2168 |  1.44  1.44 |   8
fse_stk  |     753     856 |     841     839 |  1.45  1.46 |   8
fse_x8y1 |    1177    1924 |    1932    2093 |  1.45  1.46 |   8
oo_huff  |    2313     -   |    3151     -   |  1.44   -   |   8
oo_tans  |     804     -   |    2560     -   |  1.45   -   |   8

== prose_pride      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     980    1638 |    4830    5017 |  1.72  1.72 |   8
pha      |     921    1533 |    4819    5024 |  1.72  1.72 |   8
td_naive |      58      60 |     435     433 |  1.73  1.72 |   8
td_scl_opt |     106     110 |     566     563 |  1.72  1.72 |   8
td_nv_simd |      58      60 |    1814    1780 |  1.73  1.72 |   8
td_simdopt |     905    1610 |    2418    2404 |  1.72  1.72 |   8
