fair-bench: 1 MB-class buffer = 1024 KB, adaptive 20-40 runs x 20 reps (top-2 within 2% stops), ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1693    8741 |   35823   40829 |  6.29  6.32 |   8
pha      |    1266    3121 |    5316    5419 |  8.45  8.51 |   8
ph_naive |    1691    8746 |   35806   40885 |  6.29  6.32 |   8
ph_flat  |    1691    8756 |   36042   40839 |  6.29  6.32 |   8
td_naive |     292     340 |     356     356 |  6.35  6.39 |   8
td_scl_opt |     347     417 |     839     838 |  6.29  6.32 |   8
td_nv_simd |     291     340 |    2746    2748 |  6.35  6.39 |   8
td_simdopt |    1646    7821 |    8887    8926 |  6.31  6.35 |   8
huf0     |    1149     -   |    1944     -   |  6.40   -   |   8
huf0_4x2 |    1150    2060 |    1972    2005 |  6.40  6.40 |   8
fse_stk  |     575     751 |     539     548 |  8.86  8.86 |   8
fse_x8y1 |     353     751 |     530     548 |  8.86  8.86 |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1599    3160 |    9684   10396 |  1.86  1.87 |   8
pha      |    1592    3137 |    9730   10408 |  1.86  1.87 |   8
ph_naive |    1428    2592 |    5608    5883 |  1.85  1.85 |   8
ph_flat  |    1448    2652 |    7244    7647 |  1.86  1.86 |   8
td_naive |      47      48 |      57      57 |  1.87  1.88 |   8
td_scl_opt |     103     107 |     106     106 |  1.86  1.87 |   8
td_nv_simd |      47      48 |    1750    1754 |  1.87  1.88 |   8
td_simdopt |    1467    2919 |    3222    3235 |  1.87  1.87 |   8
huf0     |    1314     -   |    1894     -   |  1.88   -   |   8
huf0_4x2 |    1316    2076 |    1875    1945 |  1.88  1.88 |   8
fse_stk  |     621     751 |     526     531 |  1.89  1.89 |   8
fse_x8y1 |     715     967 |    1315    1379 |  1.89  1.89 |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1077    2173 |    5948    6321 |  1.41  1.40 |   8
pha      |    1052    2122 |    5926    6249 |  1.41  1.40 |   8
ph_naive |     612     911 |    1464    1581 |  1.33  1.32 |   8
ph_flat  |     997    1975 |    4390    5087 |  1.40  1.40 |   8
td_naive |      36      37 |      44      44 |  1.40  1.40 |   8
td_scl_opt |      79      84 |      78      78 |  1.41  1.40 |   8
td_nv_simd |      36      37 |    1011    1007 |  1.40  1.40 |   8
td_simdopt |     888    2023 |    2545    2535 |  1.41  1.41 |   8
huf0     |    1295     -   |    1628     -   |  1.44   -   |   8
huf0_4x2 |    1294    2066 |    1505    1569 |  1.44  1.44 |   8
fse_stk  |     617     751 |     524     531 |  1.45  1.46 |   8
fse_x8y1 |     737     966 |    1309    1375 |  1.45  1.46 |   8

== prose_pride      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1258    2519 |    5795    7237 |  1.72  1.72 |   8
pha      |    1163    2223 |    5796    7209 |  1.72  1.72 |   8
ph_naive |     915    1465 |    2536    2793 |  1.67  1.66 |   8
ph_flat  |    1207    2325 |    5040    6066 |  1.71  1.71 |   8
td_naive |      44      44 |      53      53 |  1.73  1.72 |   8
td_scl_opt |      76      78 |      76      74 |  1.72  1.72 |   8
td_nv_simd |      44      44 |    1370    1385 |  1.73  1.72 |   8
td_simdopt |    1115    2426 |    2622    2624 |  1.73  1.72 |   8
huf0     |    1308     -   |    1790     -   |  1.74   -   |   8
huf0_4x2 |    1309    2072 |    1749    1820 |  1.74  1.74 |   8
fse_stk  |     618     750 |     525     531 |  1.76  1.76 |   8
fse_x8y1 |     704     967 |    1311    1375 |  1.76  1.76 |   8

== image_jpeg       ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1155    2478 |    6816    6873 |  1.00  1.00 |   8
pha      |    1153    2469 |    6780    6834 |  1.00  1.00 |   8
ph_naive |     451     608 |     869     925 |  0.94  0.94 |   8
ph_flat  |     934    1700 |    3734    3874 |  1.00  1.00 |   8
td_naive |      25      26 |      30      30 |  1.00  1.00 |   8
td_scl_opt |     107     107 |     112     103 |  1.00  1.00 |   8
td_nv_simd |      25      26 |     703     702 |  1.00  1.00 |   8
td_simdopt |     879    2343 |    2379    2308 |  1.01  1.01 |   8
huf0     |    1246     -   |    1140     -   |  1.01   -   |   8
huf0_4x2 |    1246    2057 |     990    1010 |  1.01  1.01 |   8
fse_stk  |     615     746 |     524     531 |  1.01  1.01 |   8
fse_x8y1 |     736     965 |    1296    1369 |  1.01  1.01 |   8

== json_api         ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1176    2164 |    5085    5621 |  1.51  1.51 |   8
pha      |    1135    2046 |    5086    5612 |  1.51  1.51 |   8
ph_naive |     849    1314 |    2205    2366 |  1.46  1.46 |   8
ph_flat  |    1097    1942 |    4109    4547 |  1.50  1.50 |   8
td_naive |      39      39 |      46      46 |  1.51  1.51 |   8
td_scl_opt |      74      77 |      73      74 |  1.51  1.51 |   8
td_nv_simd |      39      39 |    1242    1242 |  1.51  1.51 |   8
td_simdopt |    1030    2033 |    2514    2544 |  1.51  1.51 |   8
huf0     |    1312     -   |    1704     -   |  1.53   -   |   8
huf0_4x2 |    1310    2069 |    1603    1667 |  1.53  1.53 |   8
fse_stk  |     619     751 |     525     531 |  1.53  1.54 |   8
fse_x8y1 |     724     966 |    1311    1375 |  1.54  1.54 |   8

== dna_fasta        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1726    5142 |   15126   16826 |  3.49  3.49 |   8
pha      |    1580    3846 |    6666    6922 |  3.76  3.77 |   8
ph_naive |    1714    5127 |   14791   16188 |  3.48  3.49 |   8
ph_flat  |    1723    5112 |   15186   16769 |  3.49  3.49 |   8
td_naive |      91      95 |     114     114 |  3.51  3.52 |   8
td_scl_opt |     124     130 |     146     145 |  3.49  3.49 |   8
td_nv_simd |      91      95 |    2387    2373 |  3.51  3.52 |   8
td_simdopt |    1693    5099 |    3094    3081 |  3.50  3.51 |   8
huf0     |    1308     -   |    1936     -   |  3.53   -   |   8
huf0_4x2 |    1311    2078 |    1960    2021 |  3.53  3.53 |   8
fse_stk  |     619     750 |     526     531 |  3.83  3.83 |   8
fse_x8y1 |     635     968 |    1319    1377 |  3.83  3.83 |   8

== chinese_text     ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1174    2250 |    5706    6123 |  1.34  1.33 |   8
pha      |    1075    1788 |    5182    4500 |  1.34  1.34 |   8
ph_naive |     754    1115 |    1926    2042 |  1.29  1.28 |   8
ph_flat  |    1050    1860 |    4120    4459 |  1.33  1.32 |   8
td_naive |      34      35 |      41      41 |  1.34  1.33 |   8
td_scl_opt |      83      81 |      82      77 |  1.34  1.33 |   8
td_nv_simd |      34      35 |    1138    1134 |  1.34  1.33 |   8
td_simdopt |    1007    2181 |    2538    2435 |  1.34  1.33 |   8
huf0     |    1299     -   |    1500     -   |  1.36   -   |   8
huf0_4x2 |    1297    2070 |    1326    1359 |  1.36  1.36 |   8
fse_stk  |     617     750 |     525     531 |  1.37  1.37 |   8
fse_x8y1 |     737     966 |    1309    1374 |  1.37  1.37 |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1173    4539 |   10914   14009 |  4.60  4.57 |   8
pha      |     996    2662 |    5202    5942 |  6.13  6.07 |   8
ph_naive |     822    1668 |    2863    3001 |  4.12  3.99 |   8
ph_flat  |    1133    3866 |    7631    8850 |  4.57  4.52 |   8
td_naive |     172     199 |     215     215 |  4.63  4.59 |   8
td_scl_opt |     255     326 |     419     441 |  4.60  4.58 |   8
td_nv_simd |     172     200 |    1664    1647 |  4.63  4.59 |   8
td_simdopt |    1025    5186 |    7915    8242 |  4.65  4.62 |   8
huf0     |    1085     -   |    1879     -   |  4.79   -   |   8
huf0_4x2 |    1085    2047 |    1910    1985 |  4.79  4.78 |   8
fse_stk  |     560     751 |     536     548 |  6.42  6.50 |   8
fse_x8y1 |     340     751 |     528     548 |  6.49  6.50 |   8

