fair-bench: 1 MB-class buffer = 1024 KB, adaptive 20-40 runs x 20 reps (top-2 within 2% stops), ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1517    3554 |   16320   17697 |  6.29  6.32 |   8
pha      |    1273    2475 |    6503    6694 |  8.45  8.51 |   8
ph_naive |    1504    3669 |   16232   17289 |  6.29  6.32 |   8
ph_flat  |    1513    3679 |   16157   17120 |  6.29  6.32 |   8
td_naive |     426     513 |    1350    1350 |  6.35  6.39 |   8
td_scl_opt |     497     614 |    1733    1769 |  6.29  6.32 |   8
td_nv_simd |     428     511 |    4738    4740 |  6.35  6.39 |   8
td_simdopt |    1428    3347 |    9741    9230 |  6.29  6.32 |   8
huf0     |    1345     -   |    2954     -   |  6.40   -   |   8
huf0_4x2 |    1354    2876 |    2972    2947 |  6.40  6.40 |   8
fse_stk  |     664     912 |     668     666 |  8.86  8.86 |   8
fse_x8y1 |     365     875 |     630     664 |  8.86  8.86 |   8
oo_huff  |    1765     -   |    3331     -   |  6.40   -   |   8
oo_tans  |     728     -   |    2458     -   |  8.84   -   |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1395    2083 |    6499    6783 |  1.86  1.87 |   8
pha      |    1440    2088 |    6343    6584 |  1.86  1.87 |   8
ph_naive |    1239    1693 |    4545    4732 |  1.85  1.85 |   8
ph_flat  |    1379    1950 |    5426    5886 |  1.86  1.86 |   8
td_naive |      64      65 |     499     481 |  1.87  1.88 |   8
td_scl_opt |     151     158 |     764     770 |  1.86  1.87 |   8
td_nv_simd |      65      65 |    2308    2278 |  1.87  1.88 |   8
td_simdopt |    1375    2040 |    3303    3227 |  1.86  1.87 |   8
huf0     |    1750     -   |    2721     -   |  1.88   -   |   8
huf0_4x2 |    1721    2748 |    2753    2795 |  1.88  1.88 |   8
fse_stk  |     727     858 |     823     850 |  1.89  1.89 |   8
fse_x8y1 |    1060    1853 |    1882    2066 |  1.89  1.89 |   8
oo_huff  |    2496     -   |    3206     -   |  1.88   -   |   8
oo_tans  |     806     -   |    2425     -   |  1.89   -   |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1175    1736 |    4507    4705 |  1.41  1.40 |   8
pha      |    1162    1716 |    4650    4740 |  1.41  1.40 |   8
ph_naive |     766    1014 |    2265    2500 |  1.33  1.32 |   8
ph_flat  |    1133    1591 |    3992    4318 |  1.40  1.40 |   8
td_naive |      47      50 |     351     362 |  1.40  1.40 |   8
td_scl_opt |     113     115 |     617     614 |  1.41  1.40 |   8
td_nv_simd |      49      50 |    1660    1660 |  1.40  1.40 |   8
td_simdopt |    1121    1806 |    2628    2620 |  1.41  1.40 |   8
huf0     |    1778     -   |    2335     -   |  1.44   -   |   8
huf0_4x2 |    1738    2755 |    2076    2126 |  1.44  1.44 |   8
fse_stk  |     743     855 |     842     806 |  1.45  1.46 |   8
fse_x8y1 |    1169    1879 |    1978    2057 |  1.45  1.46 |   8
oo_huff  |    2225     -   |    3144     -   |  1.44   -   |   8
oo_tans  |     777     -   |    2423     -   |  1.45   -   |   8

== prose_pride      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1210    1745 |    4702    4998 |  1.72  1.72 |   8
pha      |    1118    1609 |    4753    4806 |  1.72  1.72 |   8
ph_naive |    1008    1333 |    3420    3558 |  1.67  1.66 |   8
ph_flat  |    1167    1661 |    4536    4560 |  1.71  1.71 |   8
td_naive |      58      59 |     438     436 |  1.73  1.72 |   8
td_scl_opt |     106     107 |     595     602 |  1.72  1.72 |   8
td_nv_simd |      58      60 |    1983    1931 |  1.73  1.72 |   8
td_simdopt |    1175    1765 |    2655    2745 |  1.72  1.72 |   8
huf0     |    1694     -   |    2550     -   |  1.74   -   |   8
huf0_4x2 |    1706    2736 |    2416    2631 |  1.74  1.74 |   8
fse_stk  |     714     874 |     807     826 |  1.76  1.76 |   8
