fair-bench: buffer >= 1024 KB (real-file dists may be larger), adaptive 20-40 runs x 20 reps (top-2 within 2% stops), ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          == n=1024 KB enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1477    3565 |   17476   17050 |  6.29  6.32 |   8
pha      |    1255    2482 |    6566    6694 |  8.45  8.51 |   8
ph_naive |    1501    3683 |   16021   16967 |  6.29  6.32 |   8
ph_flat  |    1483    3710 |   17564   17078 |  6.29  6.32 |   8
td_naive |     422     501 |    1351    1375 |  6.35  6.39 |   8
td_scl_opt |     500     621 |    1731    1733 |  6.29  6.32 |   8
td_nv_simd |     420     506 |    4697    4750 |  6.35  6.39 |   8
td_simdopt |    1406    3311 |    9934    9664 |  6.29  6.32 |   8
huf0     |    1334     -   |    2929     -   |  6.40   -   |   8
huf0_4x2 |    1332    2880 |    2953    2940 |  6.40  6.40 |   8
fse_stk  |     656     901 |     669     681 |  8.86  8.86 |   8
fse_x8y1 |     378     908 |     654     684 |  8.86  8.86 |   8
oo_huff  |    1740     -   |    3343     -   |  6.40   -   |   8
oo_tans  |     713     -   |    2596     -   |  8.84   -   |   8

== english          == n=1024 KB enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1459    2189 |    6981    7330 |  1.86  1.87 |   8
pha      |    1447    2156 |    6963    6967 |  1.86  1.87 |   8
ph_naive |    1224    1700 |    5033    5010 |  1.85  1.85 |   8
ph_flat  |    1367    1938 |    6059    6028 |  1.86  1.86 |   8
td_naive |      65      67 |     495     493 |  1.87  1.88 |   8
td_scl_opt |     151     157 |     790     788 |  1.86  1.87 |   8
td_nv_simd |      65      66 |    2285    2265 |  1.87  1.88 |   8
td_simdopt |    1379    2114 |    3326    3360 |  1.86  1.87 |   8
huf0     |    1771     -   |    2747     -   |  1.88   -   |   8
huf0_4x2 |    1747    2839 |    2747    2814 |  1.88  1.88 |   8
fse_stk  |     736     891 |     842     851 |  1.89  1.89 |   8
fse_x8y1 |    1083    1946 |    1952    2116 |  1.89  1.89 |   8
oo_huff  |    2520     -   |    3293     -   |  1.88   -   |   8
oo_tans  |     814     -   |    2553     -   |  1.89   -   |   8

== html_wiki        == n=1976 KB enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1231    1750 |    4730    4789 |  1.45  1.40 |  16
pha      |    1174    1572 |    4682    4528 |  1.46  1.41 |  16
ph_naive |     892    1128 |    2815    2767 |  1.41  1.35 |  16
ph_flat  |    1174    1674 |    4337    4417 |  1.45  1.40 |  16
td_naive |      68      72 |     380     370 |  1.46  1.41 |  16
td_scl_opt |     160     184 |     610     608 |  1.45  1.40 |  16
td_nv_simd |      68      71 |    1631    1580 |  1.46  1.41 |  16
td_simdopt |    1141    1779 |    2638    2636 |  1.45  1.40 |  16
huf0     |    1766     -   |    2269     -   |  1.47   -   |  16
huf0_4x2 |    1798    2826 |    2101    2158 |  1.47  1.44 |  16
fse_stk  |     739     875 |     830     845 |  1.48  1.46 |  16
fse_x8y1 |    1164    1941 |    1975    2140 |  1.48  1.46 |  16
oo_huff  |    2344     -   |    3262     -   |  1.47   -   |  16
oo_tans  |     809     -   |    2501     -   |  1.48   -   |  16

== prose_pride      == n=1448 KB enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1240    1809 |    5174    5233 |  1.72  1.72 |  12
pha      |    1188    1662 |    5068    5146 |  1.72  1.72 |  12
ph_naive |    1033    1389 |    3719    3851 |  1.68  1.67 |  12
ph_flat  |    1211    1712 |    4820    5081 |  1.72  1.71 |  12
td_naive |      61      62 |     448     452 |  1.73  1.72 |  12
