fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     415    1473 |    7477    8797 |  6.29  6.32 |   8
pha      |     382    1116 |    3400    3654 |  8.45  8.51 |   8
td_naive |     209     331 |     347     346 |  6.35  6.39 |   8
td_scl_opt |     233     393 |     654     652 |  6.29  6.32 |   8
td_nv_simd |     210     329 |    1935    1935 |  6.35  6.39 |   8
td_simdopt |     416    1479 |    4367    4385 |  6.29  6.32 |   8
huf0     |     806     -   |    1936     -   |  6.40   -   |   8
huf0_4x2 |     806    1629 |    1965    1975 |  6.40  6.40 |   8
fse_stk  |     433     607 |     480     489 |  8.86  8.86 |   8
fse_x8y1 |     291     607 |     471     489 |  8.86  8.86 |   8
oo_huff  |     968     -   |    1783     -   |  6.40   -   |   8
oo_tans  |     357     -   |    1462     -   |  8.84   -   |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     629     913 |    2807    3162 |  1.86  1.87 |   8
pha      |     628     908 |    2810    3192 |  1.86  1.87 |   8
td_naive |      48      50 |      63      63 |  1.87  1.88 |   8
td_scl_opt |     107     113 |     119     119 |  1.86  1.87 |   8
td_nv_simd |      48      50 |     854     854 |  1.87  1.88 |   8
td_simdopt |     633     921 |    1384    1384 |  1.86  1.87 |   8
huf0     |     968     -   |    1873     -   |  1.88   -   |   8
huf0_4x2 |     968    1624 |    1870    1926 |  1.88  1.88 |   8
fse_stk  |     480     606 |     572     582 |  1.89  1.89 |   8
fse_x8y1 |     609     914 |    1169    1250 |  1.89  1.89 |   8
oo_huff  |    1170     -   |    1803     -   |  1.88   -   |   8
oo_tans  |     377     -   |    1448     -   |  1.89   -   |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     476     735 |    1515    2201 |  1.41  1.40 |   8
pha      |     473     728 |    1514    2200 |  1.41  1.40 |   8
td_naive |      37      38 |      49      49 |  1.40  1.40 |   8
td_scl_opt |      82      88 |      87      87 |  1.41  1.40 |   8
td_nv_simd |      37      38 |     617     615 |  1.40  1.40 |   8
td_simdopt |     476     757 |    1120    1122 |  1.41  1.40 |   8
huf0     |     964     -   |    1611     -   |  1.44   -   |   8
huf0_4x2 |     964    1620 |    1501    1561 |  1.44  1.44 |   8
fse_stk  |     482     605 |     567     581 |  1.45  1.46 |   8
fse_x8y1 |     605     910 |    1169    1243 |  1.45  1.46 |   8
oo_huff  |    1078     -   |    1788     -   |  1.44   -   |   8
oo_tans  |     374     -   |    1432     -   |  1.45   -   |   8

== prose_pride      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
