fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     417    1470 |    8443    8809 |  6.29  6.32 |   8
pha      |     383    1119 |    3586    3648 |  8.45  8.51 |   8
td_naive |     211     334 |     350     350 |  6.35  6.39 |   8
td_scl_opt |     234     394 |     648     650 |  6.29  6.32 |   8
td_nv_simd |     212     335 |    1933    1934 |  6.35  6.39 |   8
td_simdopt |     416    1480 |    4371    4390 |  6.29  6.32 |   8
huf0     |     806     -   |    1889     -   |  6.40   -   |   8
huf0_4x2 |     806    1628 |    1970    1981 |  6.40  6.40 |   8
fse_stk  |     434     607 |     479     489 |  8.86  8.86 |   8
fse_x8y1 |     291     608 |     471     489 |  8.86  8.86 |   8
oo_huff  |     968     -   |    1787     -   |  6.40   -   |   8
oo_tans  |     357     -   |    1462     -   |  8.84   -   |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     642     912 |    3098    3184 |  1.86  1.87 |   8
pha      |     639     911 |    3100    3189 |  1.86  1.87 |   8
td_naive |      49      50 |      64      64 |  1.87  1.88 |   8
td_scl_opt |     106     112 |     118     118 |  1.86  1.87 |   8
td_nv_simd |      49      50 |     854     854 |  1.87  1.88 |   8
td_simdopt |     634     921 |    1383    1385 |  1.86  1.87 |   8
huf0     |     968     -   |    1869     -   |  1.88   -   |   8
huf0_4x2 |     968    1622 |    1868    1927 |  1.88  1.88 |   8
fse_stk  |     480     605 |     572     582 |  1.89  1.89 |   8
fse_x8y1 |     610     913 |    1163    1255 |  1.89  1.89 |   8
oo_huff  |    1172     -   |    1805     -   |  1.88   -   |   8
oo_tans  |     378     -   |    1451     -   |  1.89   -   |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     499     736 |    2125    2198 |  1.41  1.40 |   8
pha      |     495     729 |    2131    2202 |  1.41  1.40 |   8
td_naive |      38      39 |      49      49 |  1.40  1.40 |   8
td_scl_opt |      81      88 |      87      87 |  1.41  1.40 |   8
td_nv_simd |      38      39 |     617     616 |  1.40  1.40 |   8
td_simdopt |     476     757 |    1120    1122 |  1.41  1.40 |   8
huf0     |     967     -   |    1607     -   |  1.44   -   |   8
huf0_4x2 |     967    1620 |    1500    1562 |  1.44  1.44 |   8
fse_stk  |     482     605 |     568     582 |  1.45  1.46 |   8
fse_x8y1 |     606     910 |    1158    1244 |  1.45  1.46 |   8
oo_huff  |    1071     -   |    1789     -   |  1.44   -   |   8
oo_tans  |     375     -   |    1433     -   |  1.45   -   |   8

== prose_pride      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     544     756 |    2364    2454 |  1.72  1.72 |   8
pha      |     524     719 |    2340    2456 |  1.72  1.72 |   8
td_naive |      46      47 |      60      60 |  1.73  1.72 |   8
td_scl_opt |      79      82 |      86      85 |  1.72  1.72 |   8
td_nv_simd |      46      47 |     765     765 |  1.73  1.72 |   8
td_simdopt |     526     770 |    1187    1177 |  1.72  1.72 |   8
huf0     |     962     -   |    1777     -   |  1.74   -   |   8
huf0_4x2 |     962    1622 |    1747    1810 |  1.74  1.74 |   8
fse_stk  |     478     605 |     570     582 |  1.76  1.76 |   8
fse_x8y1 |     608     913 |    1165    1249 |  1.76  1.76 |   8
oo_huff  |    1119     -   |    1798     -   |  1.75   -   |   8
oo_tans  |     377     -   |    1445     -   |  1.76   -   |   8

== image_jpeg       ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     483     703 |    1956    1942 |  1.00  1.00 |   8
pha      |     482     704 |    1961    1940 |  1.00  1.00 |   8
