fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     626    7232 |   26902   41237 |  6.29  6.32 |   8
pha      |     558    3007 |    5039    5395 |  8.45  8.51 |   8
td_naive |     227     340 |     355     356 |  6.35  6.39 |   8
td_scl_opt |     258     414 |     839     839 |  6.29  6.32 |   8
td_nv_simd |     227     339 |    2745    2742 |  6.35  6.39 |   8
td_simdopt |     633    8062 |    8659    8671 |  6.31  6.35 |   8
huf0     |    1149     -   |    1946     -   |  6.40   -   |   8
huf0_4x2 |    1148    2062 |    1978    2005 |  6.40  6.40 |   8
fse_stk  |     574     755 |     538     548 |  8.86  8.86 |   8
fse_x8y1 |     353     755 |     530     548 |  8.86  8.86 |   8
oo_huff  |    1293     -   |    2132     -   |  6.40   -   |   8
oo_tans  |     474     -   |    1469     -   |  8.84   -   |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1339    2698 |    7169    9903 |  1.86  1.87 |   8
pha      |    1335    2700 |    7127    9808 |  1.86  1.87 |   8
td_naive |      47      48 |      57      57 |  1.87  1.88 |   8
td_scl_opt |     103     107 |     106     106 |  1.86  1.87 |   8
td_nv_simd |      47      48 |    1716    1716 |  1.87  1.88 |   8
td_simdopt |    1354    2817 |    3189    3197 |  1.87  1.87 |   8
huf0     |    1313     -   |    1888     -   |  1.88   -   |   8
huf0_4x2 |    1316    2090 |    1882    1945 |  1.88  1.88 |   8
fse_stk  |     618     753 |     526     531 |  1.89  1.89 |   8
fse_x8y1 |     724     986 |    1333    1398 |  1.89  1.89 |   8
oo_huff  |    1442     -   |    2128     -   |  1.88   -   |   8
oo_tans  |     493     -   |    1455     -   |  1.89   -   |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     907    1885 |    2233    5389 |  1.41  1.40 |   8
pha      |     893    1846 |    2242    5471 |  1.41  1.40 |   8
td_naive |      36      37 |      44      44 |  1.40  1.40 |   8
td_scl_opt |      79      84 |      78      78 |  1.41  1.40 |   8
td_nv_simd |      36      37 |    1000     996 |  1.40  1.40 |   8
td_simdopt |     875    1981 |    2520    2508 |  1.41  1.41 |   8
huf0     |    1286     -   |    1620     -   |  1.44   -   |   8
huf0_4x2 |    1289    2085 |    1509    1568 |  1.44  1.44 |   8
fse_stk  |     614     749 |     524     530 |  1.45  1.46 |   8
fse_x8y1 |     745     986 |    1327    1397 |  1.45  1.46 |   8
oo_huff  |    1242     -   |    2100     -   |  1.44   -   |   8
oo_tans  |     484     -   |    1428     -   |  1.45   -   |   8

== prose_pride      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1034    2218 |    3200    6797 |  1.72  1.72 |   8
pha      |     970    1969 |    3162    6884 |  1.72  1.72 |   8
td_naive |      43      44 |      53      53 |  1.73  1.72 |   8
td_scl_opt |      76      78 |      76      74 |  1.72  1.72 |   8
td_nv_simd |      43      44 |    1345    1361 |  1.73  1.72 |   8
td_simdopt |    1041    2366 |    2601    2608 |  1.73  1.72 |   8
huf0     |    1305     -   |    1784     -   |  1.74   -   |   8
huf0_4x2 |    1306    2088 |    1756    1820 |  1.74  1.74 |   8
fse_stk  |     616     752 |     524     531 |  1.76  1.76 |   8
fse_x8y1 |     712     988 |    1330    1400 |  1.76  1.76 |   8
oo_huff  |    1369     -   |    2118     -   |  1.75   -   |   8
oo_tans  |     491     -   |    1456     -   |  1.76   -   |   8

== image_jpeg       ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     933    2177 |    1667    3869 |  1.00  1.00 |   8
pha      |     931    2176 |    1671    3862 |  1.00  1.00 |   8
td_naive |      25      26 |      30      30 |  1.00  1.00 |   8
td_scl_opt |     106     107 |     112     103 |  1.00  1.00 |   8
td_nv_simd |      25      26 |     694     694 |  1.00  1.00 |   8
td_simdopt |     856    2253 |    2340    2286 |  1.01  1.01 |   8
huf0     |    1240     -   |    1137     -   |  1.01   -   |   8
huf0_4x2 |    1241    2079 |     992    1010 |  1.01  1.01 |   8
fse_stk  |     613     748 |     523     530 |  1.01  1.01 |   8
fse_x8y1 |     742     984 |    1316    1393 |  1.01  1.01 |   8
oo_huff  |    1380     -   |    2090     -   |  1.01   -   |   8
oo_tans  |     479     -   |    1412     -   |  1.01   -   |   8

== json_api         ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     989    1873 |    2832    5364 |  1.51  1.51 |   8
pha      |     961    1787 |    2851    5361 |  1.51  1.51 |   8
td_naive |      38      39 |      46      46 |  1.51  1.51 |   8
td_scl_opt |      74      77 |      73      74 |  1.51  1.51 |   8
td_nv_simd |      38      39 |    1230    1231 |  1.51  1.51 |   8
td_simdopt |    1008    2047 |    2495    2522 |  1.51  1.51 |   8
huf0     |    1304     -   |    1699     -   |  1.53   -   |   8
huf0_4x2 |    1307    2070 |    1602    1668 |  1.53  1.53 |   8
fse_stk  |     617     753 |     525     531 |  1.53  1.54 |   8
fse_x8y1 |     721     966 |    1333    1400 |  1.54  1.54 |   8
oo_huff  |    1364     -   |    2121     -   |  1.53   -   |   8
oo_tans  |     491     -   |    1444     -   |  1.53   -   |   8

== dna_fasta        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1349    4638 |   11088   16545 |  3.49  3.49 |   8
pha      |    1243    3623 |    5690    6908 |  3.76  3.77 |   8
td_naive |      90      95 |     114     114 |  3.51  3.52 |   8
td_scl_opt |     121     130 |     145     145 |  3.49  3.49 |   8
td_nv_simd |      90      95 |    2341    2333 |  3.51  3.52 |   8
td_simdopt |    1370    4908 |    3038    3025 |  3.50  3.51 |   8
huf0     |    1311     -   |    1937     -   |  3.53   -   |   8
huf0_4x2 |    1314    2091 |    1962    2020 |  3.53  3.53 |   8
fse_stk  |     618     755 |     525     531 |  3.83  3.83 |   8
fse_x8y1 |     641     990 |    1324    1400 |  3.83  3.83 |   8
oo_huff  |    1447     -   |    2128     -   |  3.53   -   |   8
oo_tans  |     495     -   |    1463     -   |  3.83   -   |   8

== chinese_text     ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     998    1926 |    2700    5627 |  1.34  1.33 |   8
pha      |     932    1585 |    2591    4311 |  1.34  1.34 |   8
td_naive |      34      35 |      41      41 |  1.34  1.33 |   8
td_scl_opt |      82      81 |      82      77 |  1.34  1.33 |   8
td_nv_simd |      34      35 |    1132    1124 |  1.34  1.33 |   8
td_simdopt |    1002    2173 |    2508    2429 |  1.34  1.33 |   8
huf0     |    1292     -   |    1495     -   |  1.36   -   |   8
huf0_4x2 |    1291    2068 |    1330    1359 |  1.36  1.36 |   8
fse_stk  |     616     753 |     524     531 |  1.37  1.37 |   8
fse_x8y1 |     745     986 |    1326    1395 |  1.37  1.37 |   8
oo_huff  |    1316     -   |    2108     -   |  1.36   -   |   8
oo_tans  |     477     -   |    1446     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     491    4089 |    3230   11471 |  4.60  4.57 |   8
pha      |     458    2517 |    2445    4975 |  6.13  6.07 |   8
td_naive |     145     198 |     214     214 |  4.63  4.59 |   8
td_scl_opt |     199     325 |     417     440 |  4.60  4.58 |   8
td_nv_simd |     145     198 |    1655    1633 |  4.63  4.59 |   8
td_simdopt |     488    5177 |    7727    8036 |  4.65  4.62 |   8
huf0     |    1083     -   |    1876     -   |  4.79   -   |   8
huf0_4x2 |    1083    2058 |    1910    1987 |  4.79  4.78 |   8
fse_stk  |     559     755 |     536     547 |  6.42  6.50 |   8
fse_x8y1 |     339     755 |     528     547 |  6.49  6.50 |   8
oo_huff  |    1175     -   |    2106     -   |  4.79   -   |   8
oo_tans  |     464     -   |    1449     -   |  6.44   -   |   8

