fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     631    7541 |   35857   42036 |  6.29  6.32 |   8
pha      |     559    2938 |    5312    5406 |  8.45  8.51 |   8
td_naive |     227     340 |     354     355 |  6.35  6.39 |   8
td_scl_opt |     258     417 |     825     824 |  6.29  6.32 |   8
td_nv_simd |     225     337 |    2749    2745 |  6.35  6.39 |   8
td_simdopt |     631    7694 |    8709    8736 |  6.31  6.35 |   8
huf0     |    1149     -   |    1946     -   |  6.40   -   |   8
huf0_4x2 |    1149    2058 |    1972    2003 |  6.40  6.40 |   8
fse_stk  |     575     748 |     539     548 |  8.86  8.86 |   8
fse_x8y1 |     353     748 |     530     547 |  8.86  8.86 |   8
oo_huff  |    1293     -   |    2130     -   |  6.40   -   |   8
oo_tans  |     476     -   |    1469     -   |  8.84   -   |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1398    2759 |    9318    9812 |  1.86  1.87 |   8
pha      |    1398    2738 |    9253    9881 |  1.86  1.87 |   8
td_naive |      47      48 |      57      57 |  1.87  1.88 |   8
td_scl_opt |     102     107 |     106     106 |  1.86  1.87 |   8
td_nv_simd |      47      48 |    1745    1746 |  1.87  1.88 |   8
td_simdopt |    1374    2877 |    3161    3165 |  1.87  1.87 |   8
huf0     |    1315     -   |    1895     -   |  1.88   -   |   8
huf0_4x2 |    1313    2073 |    1878    1940 |  1.88  1.88 |   8
fse_stk  |     619     755 |     526     531 |  1.89  1.89 |   8
fse_x8y1 |     715     966 |    1336    1400 |  1.89  1.89 |   8
oo_huff  |    1428     -   |    2126     -   |  1.88   -   |   8
oo_tans  |     491     -   |    1448     -   |  1.89   -   |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1005    1933 |    5179    5397 |  1.41  1.40 |   8
pha      |     995    1887 |    5227    5432 |  1.41  1.40 |   8
td_naive |      36      37 |      44      44 |  1.40  1.40 |   8
td_scl_opt |      79      84 |      78      78 |  1.41  1.40 |   8
td_nv_simd |      36      37 |    1010    1005 |  1.40  1.40 |   8
td_simdopt |     884    2028 |    2539    2514 |  1.41  1.41 |   8
huf0     |    1289     -   |    1629     -   |  1.44   -   |   8
huf0_4x2 |    1287    2066 |    1506    1564 |  1.44  1.44 |   8
fse_stk  |     615     751 |     524     532 |  1.45  1.46 |   8
fse_x8y1 |     736     965 |    1328    1399 |  1.45  1.46 |   8
oo_huff  |    1222     -   |    2104     -   |  1.44   -   |   8
oo_tans  |     485     -   |    1418     -   |  1.45   -   |   8

== prose_pride      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1122    2278 |    5591    6960 |  1.72  1.72 |   8
pha      |    1043    2014 |    5606    6910 |  1.72  1.72 |   8
td_naive |      43      44 |      53      53 |  1.73  1.72 |   8
td_scl_opt |      76      78 |      76      74 |  1.72  1.72 |   8
td_nv_simd |      43      44 |    1367    1381 |  1.73  1.72 |   8
td_simdopt |    1051    2419 |    2633    2623 |  1.73  1.72 |   8
huf0     |    1304     -   |    1789     -   |  1.74   -   |   8
huf0_4x2 |    1303    2080 |    1749    1813 |  1.74  1.74 |   8
fse_stk  |     616     751 |     524     531 |  1.76  1.76 |   8
fse_x8y1 |     712     987 |    1329    1398 |  1.76  1.76 |   8
oo_huff  |    1344     -   |    2113     -   |  1.75   -   |   8
oo_tans  |     490     -   |    1420     -   |  1.76   -   |   8

