fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     539    2373 |   13173   18526 |  6.29  6.32 |   8
pha      |     507    2103 |    5699    6624 |  8.45  8.51 |   8
td_naive |     283     491 |     437    1279 |  6.35  6.39 |   8
td_scl_opt |     314     605 |     474    1599 |  6.29  6.32 |   8
td_nv_simd |     285     490 |     561    3859 |  6.35  6.39 |   8
td_simdopt |     538    2792 |     601    6791 |  6.29  6.32 |   8
huf0     |    1335    2747 |    2887    3009 |  6.40  6.40 |   8
huf0_stk |    1303     -   |    2872     -   |  6.40   -   |   8
fse_stk  |     649     896 |     670     678 |  8.86  8.86 |   8
fse_x8y1 |     374     908 |     656     678 |  8.86  8.86 |   8
oo_huff  |    1674     -   |    3227     -   |  6.40   -   |   8
oo_tans  |     722     -   |    2518     -   |  8.84   -   |   8

== proba50          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     633    2276 |    7855   10220 |  3.92  3.94 |   8
pha      |     631    2249 |    7733   10240 |  3.92  3.94 |   8
td_naive |     124     143 |     445     897 |  3.98  4.00 |   8
td_scl_opt |     160     196 |     468    1014 |  3.92  3.94 |   8
td_nv_simd |     124     144 |     683    3062 |  3.98  4.00 |   8
td_simdopt |     636    2261 |     724    4083 |  3.92  3.94 |   8
huf0     |    1446    2868 |    2877    2834 |  4.00  4.00 |   8
huf0_stk |    1447     -   |    2816     -   |  4.00   -   |   8
fse_stk  |     684     918 |     676     686 |  4.00  4.01 |   8
fse_x8y1 |     451     891 |     720     684 |  4.00  4.01 |   8
oo_huff  |    1939     -   |    3241     -   |  4.00   -   |   8
oo_tans  |     739     -   |    2483     -   |  4.00   -   |   8

== proba14          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     990    1725 |    4346    5548 |  1.87  1.87 |   8
pha      |     986    1796 |    4384    5548 |  1.87  1.87 |   8
td_naive |      66      68 |     400     487 |  1.89  1.89 |   8
td_scl_opt |     116     122 |     483     612 |  1.87  1.87 |   8
td_nv_simd |      66      68 |    1049    1993 |  1.89  1.89 |   8
td_simdopt |     977    1797 |    1172    2500 |  1.87  1.87 |   8
huf0     |    1723    2744 |    2619    2891 |  1.90  1.90 |   8
huf0_stk |    1773     -   |    2684     -   |  1.90   -   |   8
fse_stk  |     746     884 |     837     866 |  1.91  1.91 |   8
fse_x8y1 |    1070    1929 |    1924    2100 |  1.91  1.91 |   8
oo_huff  |    2423     -   |    3445     -   |  1.90   -   |   8
oo_tans  |     816     -   |    2484     -   |  1.91   -   |   8

== proba02          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     895    1545 |    2714    4937 |  1.11  1.12 |   8
pha      |     912    1568 |    2925    4972 |  1.11  1.12 |   8
td_naive |      38      39 |     252     281 |  1.11  1.11 |   8
td_scl_opt |     118     126 |     469     602 |  1.11  1.12 |   8
td_nv_simd |      38      39 |     671    1013 |  1.11  1.11 |   8
td_simdopt |     920    1599 |    1153    2422 |  1.11  1.12 |   8
huf0     |    1894    2798 |    1595    1640 |  1.12  1.13 |   8
huf0_stk |    1796     -   |    1488     -   |  1.12   -   |   8
fse_stk  |     750     880 |     830     867 |  1.13  1.13 |   8
fse_x8y1 |    1249    1920 |    2051    2103 |  1.13  1.13 |   8
oo_huff  |    2419     -   |    3163     -   |  1.13   -   |   8
oo_tans  |     823     -   |    2448     -   |  1.13   -   |   8

== bell_s10         ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1097    2065 |    4099    7384 |  1.44  1.39 |   8
pha      |    1066    1949 |    4031    5914 |  1.44  1.40 |   8
td_naive |      51      53 |     323     362 |  1.44  1.39 |   8
td_scl_opt |     168     203 |     577     825 |  1.44  1.39 |   8
td_nv_simd |      51      52 |     937    1552 |  1.44  1.39 |   8
td_simdopt |    1103    2072 |    1293    2807 |  1.44  1.39 |   8
huf0     |    1796    2940 |    2477    2637 |  1.46  1.46 |   8
huf0_stk |    1876     -   |    2437     -   |  1.46   -   |   8
fse_stk  |     766     891 |     847     851 |  1.47  1.48 |   8
fse_x8y1 |    1236    1922 |    1970    2093 |  1.48  1.48 |   8
oo_huff  |    2342     -   |    3269     -   |  1.47   -   |   8
oo_tans  |     807     -   |    2485     -   |  1.47   -   |   8

== bell_s30         ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     921    1619 |    2805    5148 |  1.12  1.12 |   8
pha      |     885    1576 |    2778    4925 |  1.12  1.12 |   8
td_naive |      38      39 |     252     289 |  1.12  1.11 |   8
td_scl_opt |     115     130 |     463     618 |  1.12  1.12 |   8
td_nv_simd |      38      39 |     666    1125 |  1.12  1.11 |   8
td_simdopt |     913    1617 |    1129    2383 |  1.12  1.12 |   8
huf0     |    1843    2784 |    1483    1540 |  1.14  1.14 |   8
huf0_stk |    1790     -   |    1484     -   |  1.14   -   |   8
fse_stk  |     747     872 |     835     858 |  1.14  1.15 |   8
fse_x8y1 |    1246    1919 |    1964    2140 |  1.15  1.15 |   8
oo_huff  |    2259     -   |    3145     -   |  1.14   -   |   8
oo_tans  |     807     -   |    2566     -   |  1.14   -   |   8

== bell_s80         ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     986    1722 |    2702    4541 |  1.00  1.00 |   8
pha      |     982    1713 |    2700    4539 |  1.00  1.00 |   8
td_naive |      34      34 |     229     257 |  0.99  0.99 |   8
td_scl_opt |     172     209 |     601     870 |  1.00  1.00 |   8
td_nv_simd |      34      34 |     668     954 |  0.99  0.99 |   8
td_simdopt |     985    1719 |    1260    2642 |  1.00  1.00 |   8
huf0       (n/a)
huf0_stk   (n/a)
fse_stk    (n/a)
fse_x8y1 |    1248    1920 |    2011    2103 |  1.00  1.01 |   8
oo_huff  |    2564     -   |    3184     -   |  1.01   -   |   8
oo_tans  |     810     -   |    2412     -   |  1.01   -   |   8

== uniform          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1474    3812 |    3615    5965 |  1.00  1.00 |   8
pha      |    1495    3837 |    3784    5450 |  1.00  1.00 |   8
td_naive |      33      34 |     231     255 |  0.99  0.99 |   8
td_scl_opt |     774    1161 |    1276    2687 |  1.00  1.00 |   8
td_nv_simd |      33      34 |     662     995 |  0.99  0.99 |   8
td_simdopt |    1519    3787 |    1709    5493 |  1.00  1.00 |   8
huf0       (n/a)
huf0_stk   (n/a)
fse_stk    (n/a)
fse_x8y1 |    1260    1949 |    1960    2078 |  0.99  1.00 |   8
oo_huff    (n/a)
oo_tans    (n/a)

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1040    1916 |    5238    6562 |  1.86  1.87 |   8
pha      |    1062    1862 |    5256    6578 |  1.86  1.87 |   8
td_naive |      63      65 |     397     472 |  1.87  1.88 |   8
td_scl_opt |     145     154 |     563     751 |  1.86  1.87 |   8
td_nv_simd |      63      64 |    1098    1999 |  1.87  1.88 |   8
td_simdopt |    1041    1892 |    1278    2859 |  1.86  1.87 |   8
huf0     |    1743    2784 |    2639    2671 |  1.88  1.88 |   8
huf0_stk |    1742     -   |    2576     -   |  1.88   -   |   8
fse_stk  |     733     866 |     843     834 |  1.89  1.89 |   8
fse_x8y1 |    1061    1928 |    1984    2090 |  1.89  1.89 |   8
oo_huff  |    2466     -   |    3176     -   |  1.88   -   |   8
