fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     537    2195 |   14286   17712 |  6.29  6.32 |   8
pha      |     510    2089 |    5861    6441 |  8.45  8.51 |   8
td_naive |     284     504 |    1274    1266 |  6.35  6.39 |   8
td_scl_opt |     317     608 |    1714    1687 |  6.29  6.32 |   8
td_nv_simd |     284     500 |    3761    3847 |  6.35  6.39 |   8
td_simdopt |     542    2843 |    6709    6935 |  6.29  6.32 |   8
huf0     |    1339     -   |    2987     -   |  6.40   -   |   8
huf0_4x2 |    1343    2803 |    2922    2923 |  6.40  6.40 |   8
fse_stk  |     666     923 |     673     687 |  8.86  8.86 |   8
fse_x8y1 |     380     925 |     656     688 |  8.86  8.86 |   8
oo_huff  |    1800     -   |    3348     -   |  6.40   -   |   8
oo_tans  |     719     -   |    2680     -   |  8.84   -   |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1071    1926 |    6100    6696 |  1.86  1.87 |   8
pha      |    1064    1925 |    5583    6730 |  1.86  1.87 |   8
td_naive |      66      68 |     489     483 |  1.87  1.88 |   8
td_scl_opt |     148     156 |     755     764 |  1.86  1.87 |   8
td_nv_simd |      66      68 |    2059    2059 |  1.87  1.88 |   8
td_simdopt |    1068    1998 |    2870    2878 |  1.86  1.87 |   8
huf0     |    1877     -   |    2816     -   |  1.88   -   |   8
huf0_4x2 |    1784    2810 |    2676    2817 |  1.88  1.88 |   8
fse_stk  |     763     894 |     857     869 |  1.89  1.89 |   8
fse_x8y1 |    1090    1902 |    1910    2261 |  1.89  1.89 |   8
oo_huff  |    2536     -   |    3255     -   |  1.88   -   |   8
oo_tans  |     835     -   |    2525     -   |  1.89   -   |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     997    1600 |    3152    4658 |  1.41  1.40 |   8
pha      |     984    1575 |    3155    4711 |  1.41  1.40 |   8
td_naive |      51      52 |     369     359 |  1.40  1.40 |   8
td_scl_opt |     115     121 |     606     613 |  1.41  1.40 |   8
td_nv_simd |      50      52 |    1490    1431 |  1.40  1.40 |   8
td_simdopt |     966    1638 |    2352    2359 |  1.41  1.40 |   8
huf0     |    1779     -   |    2463     -   |  1.44   -   |   8
huf0_4x2 |    1791    2788 |    2179    2229 |  1.44  1.44 |   8
fse_stk  |     765     914 |     853     870 |  1.45  1.46 |   8
fse_x8y1 |    1196    1924 |    2018    2145 |  1.45  1.46 |   8
oo_huff  |    2301     -   |    3200     -   |  1.44   -   |   8
oo_tans  |     808     -   |    2455     -   |  1.45   -   |   8

== prose_pride      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     923    1624 |    3807    5085 |  1.72  1.72 |   8
pha      |     883    1577 |    3816    5063 |  1.72  1.72 |   8
td_naive |      61      62 |     443     445 |  1.73  1.72 |   8
td_scl_opt |     108     112 |     594     607 |  1.72  1.72 |   8
td_nv_simd |      61      63 |    1804    1840 |  1.73  1.72 |   8
td_simdopt |     957    1629 |    2437    2446 |  1.72  1.72 |   8
huf0     |    1722     -   |    2702     -   |  1.74   -   |   8
huf0_4x2 |    1719    2786 |    2495    2571 |  1.74  1.74 |   8
fse_stk  |     752     892 |     857     868 |  1.76  1.76 |   8
fse_x8y1 |    1119    1908 |    1927    2111 |  1.76  1.76 |   8
oo_huff  |    2326     -   |    3218     -   |  1.75   -   |   8
oo_tans  |     816     -   |    2475     -   |  1.76   -   |   8

