fair-bench: 1 MB-class buffer = 1024 KB, best of 5x10, ph table-G=128 KB, BLK=8192
columns: enc(opaque prebuilt)  dec(opaque prebuilt)  MB/s | ratio(op pb) | builds/1MB

== proba80          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     515    2446 |   16804   18141 |  6.29  6.32 |   8
pha      |     503    2098 |    6132    6461 |  8.45  8.51 |   8
td_naive |     284     492 |    1225    1265 |  6.35  6.39 |   8
td_scl_opt |     312     601 |    1605    1649 |  6.29  6.32 |   8
td_nv_simd |     285     492 |    3803    3904 |  6.35  6.39 |   8
td_simdopt |     540    2813 |    6587    6867 |  6.29  6.32 |   8
huf0     |    1376     -   |    2897     -   |  6.40   -   |   8
huf0_4x2 |    1286    2753 |    2892    3004 |  6.40  6.40 |   8
fse_stk  |     657     917 |     668     680 |  8.86  8.86 |   8
fse_x8y1 |     373     876 |     629     665 |  8.86  8.86 |   8
oo_huff  |    1755     -   |    3236     -   |  6.40   -   |   8
oo_tans  |     702     -   |    2462     -   |  8.84   -   |   8

== english          ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1100    1989 |    6398    6675 |  1.86  1.87 |   8
pha      |    1127    1887 |    6402    6700 |  1.86  1.87 |   8
td_naive |      66      67 |     489     473 |  1.87  1.88 |   8
td_scl_opt |     147     157 |     771     751 |  1.86  1.87 |   8
td_nv_simd |      65      67 |    2123    2042 |  1.87  1.88 |   8
td_simdopt |    1054    1917 |    2945    2871 |  1.86  1.87 |   8
huf0     |    1758     -   |    2669     -   |  1.88   -   |   8
huf0_4x2 |    1759    2728 |    2718    2617 |  1.88  1.88 |   8
fse_stk  |     752     887 |     849     856 |  1.89  1.89 |   8
fse_x8y1 |    1078    1941 |    1898    2106 |  1.89  1.89 |   8
oo_huff  |    2447     -   |    3199     -   |  1.88   -   |   8
oo_tans  |     825     -   |    2485     -   |  1.89   -   |   8

== html_wiki        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1021    1585 |    4387    4581 |  1.41  1.40 |   8
pha      |    1011    1614 |    4406    4579 |  1.41  1.40 |   8
td_naive |      50      51 |     368     359 |  1.40  1.40 |   8
td_scl_opt |     114     122 |     602     600 |  1.41  1.40 |   8
td_nv_simd |      50      51 |    1438    1520 |  1.40  1.40 |   8
td_simdopt |     965    1635 |    2429    2330 |  1.41  1.40 |   8
huf0     |    1805     -   |    2335     -   |  1.44   -   |   8
huf0_4x2 |    1766    2784 |    2135    2320 |  1.44  1.44 |   8
fse_stk  |     754     909 |     850     861 |  1.45  1.46 |   8
fse_x8y1 |    1177    1916 |    1947    2220 |  1.45  1.46 |   8
oo_huff  |    2279     -   |    3193     -   |  1.44   -   |   8
oo_tans  |     803     -   |    2442     -   |  1.45   -   |   8

== prose_pride      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     955    1604 |    4902    5507 |  1.72  1.72 |   8
pha      |     907    1496 |    4812    5073 |  1.72  1.72 |   8
td_naive |      59      62 |     439     434 |  1.73  1.72 |   8
td_scl_opt |     108     112 |     583     588 |  1.72  1.72 |   8
td_nv_simd |      59      61 |    1832    1825 |  1.73  1.72 |   8
td_simdopt |     943    1622 |    2447    2407 |  1.72  1.72 |   8
huf0     |    1706     -   |    2550     -   |  1.74   -   |   8
huf0_4x2 |    1704    2773 |    2457    2589 |  1.74  1.74 |   8
fse_stk  |     748     872 |     848     860 |  1.76  1.76 |   8
fse_x8y1 |    1101    1916 |    1918    2095 |  1.76  1.76 |   8
oo_huff  |    2380     -   |    3183     -   |  1.75   -   |   8
oo_tans  |     799     -   |    2461     -   |  1.76   -   |   8

== image_jpeg       ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1070    1608 |    3966    3969 |  1.00  1.00 |   8
pha      |    1069    1666 |    3963    3972 |  1.00  1.00 |   8
td_naive |      34      35 |     260     259 |  1.00  1.00 |   8
td_scl_opt |     159     160 |     749     713 |  1.00  1.00 |   8
td_nv_simd |      34      35 |    1011    1021 |  1.00  1.00 |   8
td_simdopt |     979    1626 |    2407    2360 |  1.00  1.00 |   8
huf0     |    1809     -   |    1466     -   |  1.01   -   |   8
huf0_4x2 |    1738    2778 |    1417    1417 |  1.01  1.01 |   8
fse_stk  |     771     865 |     844     839 |  1.01  1.01 |   8
fse_x8y1 |    1247    1914 |    1951    2057 |  1.01  1.01 |   8
oo_huff  |    2658     -   |    3139     -   |  1.01   -   |   8
oo_tans  |     808     -   |    2373     -   |  1.01   -   |   8

== json_api         ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     971    1546 |    4329    4473 |  1.51  1.51 |   8
pha      |     947    1453 |    4315    4454 |  1.51  1.51 |   8
td_naive |      52      53 |     390     387 |  1.51  1.51 |   8
td_scl_opt |     104     111 |     576     569 |  1.51  1.51 |   8
td_nv_simd |      52      53 |    1558    1629 |  1.51  1.51 |   8
td_simdopt |     953    1590 |    2359    2413 |  1.51  1.51 |   8
huf0     |    1768     -   |    2369     -   |  1.53   -   |   8
huf0_4x2 |    1738    2761 |    2230    2356 |  1.53  1.53 |   8
fse_stk  |     726     898 |     828     848 |  1.53  1.54 |   8
fse_x8y1 |    1131    1915 |    1998    2095 |  1.54  1.54 |   8
oo_huff  |    2341     -   |    3163     -   |  1.53   -   |   8
oo_tans  |     810     -   |    2504     -   |  1.53   -   |   8

== dna_fasta        ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     798    2129 |    8560    8932 |  3.49  3.49 |   8
pha      |     805    1951 |    5868    6016 |  3.76  3.77 |   8
td_naive |     121     135 |     790     814 |  3.51  3.52 |   8
td_scl_opt |     162     183 |     844     874 |  3.49  3.49 |   8
td_nv_simd |     121     134 |    2889    2870 |  3.51  3.52 |   8
td_simdopt |     791    2165 |    3432    3293 |  3.49  3.49 |   8
huf0     |    1541     -   |    2897     -   |  3.53   -   |   8
huf0_4x2 |    1538    2767 |    2757    2807 |  3.53  3.53 |   8
fse_stk  |     700     866 |     813     831 |  3.83  3.83 |   8
fse_x8y1 |     729    1909 |    1821    2121 |  3.83  3.83 |   8
oo_huff  |    2140     -   |    3221     -   |  3.53   -   |   8
oo_tans  |     758     -   |    2582     -   |  3.83   -   |   8

== chinese_text     ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |    1024    1517 |    4955    4861 |  1.34  1.33 |   8
pha      |     975    1335 |    4681    4013 |  1.34  1.34 |   8
td_naive |      46      47 |     348     345 |  1.34  1.33 |   8
td_scl_opt |     118     117 |     603     576 |  1.34  1.33 |   8
td_nv_simd |      46      47 |    1425    1471 |  1.34  1.33 |   8
td_simdopt |     983    1553 |    2439    2352 |  1.34  1.33 |   8
huf0     |    1784     -   |    2247     -   |  1.36   -   |   8
huf0_4x2 |    1806    2784 |    1854    1960 |  1.36  1.36 |   8
fse_stk  |     743     860 |     841     842 |  1.37  1.37 |   8
fse_x8y1 |    1199    1921 |    1936    2146 |  1.37  1.37 |   8
oo_huff  |    2382     -   |    3151     -   |  1.36   -   |   8
oo_tans  |     807     -   |    2506     -   |  1.37   -   |   8

== calgary_pic      ==        enc_op  enc_pb   dec_op  dec_pb |  r_op  r_pb | blds
ph       |     513    2419 |   10788   11769 |  4.60  4.57 |   8
pha      |     491    2013 |    6370    6743 |  6.13  6.07 |   8
td_naive |     190     273 |     929     941 |  4.63  4.59 |   8
td_scl_opt |     256     471 |    1400    1386 |  4.60  4.58 |   8
td_nv_simd |     188     273 |    2813    2804 |  4.63  4.59 |   8
td_simdopt |     496    2431 |    5793    5901 |  4.60  4.58 |   8
huf0     |    1236     -   |    2534     -   |  4.79   -   |   8
huf0_4x2 |    1282    2772 |    2739    2693 |  4.79  4.78 |   8
fse_stk  |     635     876 |     652     678 |  6.42  6.50 |   8
fse_x8y1 |     374     867 |     638     672 |  6.49  6.50 |   8
oo_huff  |    1600     -   |    3110     -   |  4.79   -   |   8
oo_tans  |     702     -   |    2465     -   |  6.44   -   |   8

