distribution,decoder,primitive,calls,elements,ticks,ns_per_elem,ns_per_call
proba80,naive,p_partition,640000,1311456000,517524235,0.394620,808.635491
proba80,naive,s1_scatter,765500,1048576000,257441281,0.245516,336.306354
proba80,scalar_opt,p_partition,384000,260847000,102185823,0.391748,266.110189
proba80,scalar_opt,p_half_right,128000,1048576000,396238381,0.377884,3095.627180
proba80,scalar_opt,s1_scatter,384000,207986000,52408729,0.251983,136.481719
proba80,scalar_opt,s2_scatter_both,128000,2033000,995584,0.489714,7.778037
proba80,simd_opt,simd_partition,384000,260847000,16516865,0.063320,43.012875
proba80,simd_opt,simd_partition_root_half_right,128000,1048576000,51558433,0.049170,402.802187
proba80,simd_opt,simd_s1_scatter,384000,207986000,25979634,0.124911,67.655621
proba80,simd_opt,simd_s2_scatter_both,128000,2033000,430067,0.211544,3.359915
prose_pride,naive,p_partition,10150500,4825964000,1956992890,0.405515,192.798607
prose_pride,naive,s1_scatter,8893500,1048576000,290250057,0.276805,32.636358
prose_pride,scalar_opt,p_partition,1792000,3125605500,1266463542,0.405192,706.735273
prose_pride,scalar_opt,p_half_right,128000,277315000,112682613,0.406336,880.337131
prose_pride,scalar_opt,s1_scatter,896000,208865000,58296630,0.279113,65.063515
prose_pride,scalar_opt,s2_scatter_both,386500,193893000,62426246,0.321964,161.517581
prose_pride,scalar_opt,sfx_scatter_flat,512000,470819500,185546051,0.394094,362.396367
prose_pride,simd_opt,simd_partition,1664000,2077029500,135202756,0.065095,81.252045
prose_pride,simd_opt,simd_partition_half_right,128000,277315000,13699379,0.049400,107.026911
prose_pride,simd_opt,simd_partition_root,128000,1048576000,67730535,0.064593,529.147339
prose_pride,simd_opt,simd_s1_scatter,896000,208865000,29216686,0.139884,32.608065
prose_pride,simd_opt,simd_s2_scatter_both,386500,193893000,31952089,0.164793,82.670743
prose_pride,simd_opt,simd_sfx_scatter_flat,512000,470819500,76555872,0.162602,149.523904
